seed,episode,reward_1458,reward_2259,reward_2821,clicks_1458,clicks_2259,clicks_2821,cost_1458,cost_2259,cost_2821
3,1,145.000263047521,224.00050070206635,194.00047342688777,150,229,199,999.95044,999.90045,999.90814
3,2,171.00028916925658,221.00007937580813,189.00018371432088,176,226,194,999.9454,999.98444,999.96655
3,3,181.00021019985434,257.0000521487091,183.00002570427023,186,262,188,999.96136,999.99133,999.99854
3,4,112.00007909047417,202.00421131029725,190.00013132439926,117,207,195,999.9843,999.1584,999.97424
3,5,107.00039368332364,223.01676250994205,132.0000518959714,112,228,137,999.91956,996.6471,999.9881
3,6,92.00010434910655,191.0001034270972,132.00047323387116,97,196,137,999.9775,999.9775,999.90485
3,7,112.00010370486416,212.01223645545542,135.00039342150558,117,217,140,999.9787,997.55133,999.91956
3,8,105.00023433880415,193.00168242771178,128.0003934726119,110,198,133,999.9544,999.6617,999.91956
3,9,105.00039336516056,229.01039330428466,141.00139337964356,110,234,146,999.9197,997.9196,999.7196
3,10,103.00089371949434,208.01294818893075,135.00163212802727,108,213,140,999.8196,997.4111,999.6742
3,11,101.00016017176677,211.01294820010662,183.00178921082988,106,216,188,999.9684,997.4111,999.64545
3,12,96.00039379205555,208.00113245099783,117.00034258002415,101,213,122,999.9196,999.77423,999.9321
3,13,161.00023646187037,207.01294818520546,179.00976270996034,166,212,184,999.95624,997.4111,998.05096
3,14,147.00023651495576,213.00021116167773,175.00010472675785,152,218,180,999.95624,999.9582,999.98236
3,15,159.00002591789234,253.00018418894615,185.00010473525617,164,258,190,999.9983,999.96295,999.98236
3,16,2132.640187078854,1.968052625656128,192.01621003076434,2135,2,197,471.97202,6.389474,996.7615
3,17,2072.056874173577,202.35799940675497,174.01621009781957,2075,206,179,588.61707,728.40137,996.7615
3,18,146.00405221630353,297.00020908983424,171.00020772987045,151,302,176,999.19305,999.9607,999.959
3,19,2170.0627919248072,0.0,187.0162100493908,2173,0,192,587.43243,0.0,996.7615
3,20,2164.629370607785,0.0,183.0105521697551,2167,0,188,474.13522,0.0,997.89307
3,21,941.0049012438394,275.0000254660845,174.0105522032827,946,280,179,999.0216,999.9983,997.89307
3,22,318.0089953846764,227.00029009243008,190.00031522882637,323,232,195,998.1979,999.9424,999.9403
3,23,165.00047297007404,209.00034287571907,185.0003153878497,170,214,190,999.909,999.9321,999.94037
3,24,214.00581128150225,218.00013239495456,234.0003104559146,219,223,239,998.8412,999.9742,999.9423
3,25,211.01123600732535,394.000254024053,607.0022529464914,216,399,612,997.7521,999.9524,999.529
3,26,259.0061015598476,375.0003334276844,180.00263029756024,264,380,185,998.78375,999.93646,999.4751
3,27,1013.0050034386804,212.0003429139033,240.00157379359007,1018,217,245,998.9765,999.93207,999.68976
3,28,242.00028538610786,212.00034288689494,252.00031003681943,247,217,257,999.94653,999.93207,999.9423
3,29,447.01151613681577,227.00015816604719,253.00023132865317,452,232,258,997.6865,999.9685,999.9577
3,30,1541.0060530870687,978.964846126386,240.0017576101236,1546,980,245,998.7588,207.03072,999.65247
3,31,303.007209529751,228.0002895463258,226.0003105433425,308,233,231,998.56085,999.94324,999.9423
3,32,754.0117476292653,312.00049553555436,247.01262584328651,759,317,252,997.6227,999.903,997.4792
3,33,292.0096015150193,251.00010450277478,249.0003100541653,297,256,254,998.0819,999.9804,999.9423
3,34,265.0024413445499,231.00044709816575,242.00309964455664,270,236,247,999.5144,999.91187,999.38446
3,35,255.00426014931872,214.00013241916895,239.00309974048287,260,219,244,999.15094,999.9742,999.38446
3,36,255.00818245112896,226.0002110907808,230.00009996967856,260,231,235,998.36597,999.9584,999.98444
3,37,268.0024964029435,259.0004190916661,250.00038897746708,273,264,255,999.5048,999.9175,999.9266
