seed,episode,reward_1458,reward_2259,reward_2821,clicks_1458,clicks_2259,clicks_2821,cost_1458,cost_2259,cost_2821
4,1,120.00034095544834,266.0002845833078,196.00000087427907,125,271,201,999.9301,999.9413,999.9988
4,2,155.00031552184373,206.00046980008483,209.00044660107233,160,211,214,999.9401,999.9069,999.9136
4,3,149.00047333084513,249.00026163551956,263.0002366435947,154,254,268,999.9059,999.94946,999.95245
4,4,133.00049977749586,192.00031185150146,230.0040003618924,138,197,235,999.90356,999.9386,999.20215
4,5,148.000500199385,256.00034018524457,249.00060502800625,153,261,254,999.90356,999.93365,999.8823
4,6,92.00029186718166,251.0002619922161,183.01549956493545,97,256,188,999.942,999.9495,996.90356
4,7,83.0001599463867,235.00002443231642,200.00226255413145,88,240,205,999.96893,999.99664,999.55084
4,8,95.00005397584755,268.0002359498758,194.000341735431,100,273,199,999.99036,999.9561,999.9351
4,9,137.01671181991696,202.0001010876149,196.00105275097303,142,207,201,996.65955,999.98065,999.7931
4,10,152.01621017977595,195.000442892313,183.0002363808453,157,200,188,996.7615,999.91235,999.95624
4,11,164.01268451660872,189.00044302642345,174.00697331503034,169,194,179,997.46606,999.91235,998.6088
4,12,165.00034211669117,192.00002198666334,169.00023643299937,170,197,174,999.93524,999.9964,999.95624
4,13,136.00050012231804,195.000311465119,197.00023632869124,141,200,202,999.9035,999.93854,999.95624
4,14,162.00039440090768,275.0003683316754,350.0087320012972,167,280,355,999.9246,999.9284,998.2467
4,15,150.00002597738057,184.0000251244055,142.00068176654167,155,189,147,999.9982,999.9958,999.8651
4,16,313.0004777328577,195.00002191960812,170.0148698934354,318,200,175,999.90906,999.99634,997.02765
4,17,136.00015534262639,176.0000043436885,183.0009446889162,141,181,188,999.9696,1000.0,999.81165
4,18,130.00036878231913,181.00016174302436,208.00042135454714,135,186,213,999.9268,999.96826,999.91504
4,19,136.00547446333803,208.00005433394108,142.00042168516666,141,213,147,998.9055,999.98956,999.91644
4,20,110.00378988636658,184.00037262914702,144.00084268767387,115,189,149,999.24243,999.92615,999.83215
4,21,133.00044761202298,177.00000436604023,135.0008426271379,138,182,140,999.91046,1000.0,999.83215
4,22,103.0004474731395,171.00000423192978,134.0181058086455,108,176,139,999.91046,1000.0,996.37946
4,23,101.02078706026077,173.00000427663326,120.0043129697442,106,178,125,995.84393,1000.0,999.1387
4,24,179.00091742444783,198.00002180715092,223.0029958677478,184,203,228,999.82135,999.9964,999.4053
4,25,167.0002073814394,188.00023253262043,256.0028639608063,172,193,261,999.96045,999.9544,999.4304
4,26,214.00438976939768,393.00030672736466,265.00758441351354,219,398,270,999.1265,999.9422,998.48834
4,27,188.00260090106167,194.0003113555722,255.0047332450049,193,199,260,999.48444,999.9387,999.05554
4,28,155.00223331525922,196.00031126395334,245.0061267176643,160,201,250,999.5583,999.9384,998.7773
4,29,132.00384407117963,190.00023260712624,216.0059496872127,137,195,221,999.2305,999.95435,998.8069
4,30,157.00121215824038,192.00023241061717,202.0040811250219,162,197,207,999.7547,999.95435,999.1809
4,31,170.0094491263153,188.00023259222507,217.00458119250834,175,193,222,998.1073,999.95435,999.0809
4,32,171.02155443292577,200.00002180889715,211.00250219739974,176,205,216,995.6862,999.9964,999.49677
4,33,155.00265940348618,191.0002324655652,553.0133604090661,160,196,558,999.4649,999.95435,997.32355
4,34,161.01302797812968,311.0002137274714,374.00120450602844,166,316,379,997.3915,999.9546,999.75433
4,35,166.0001042954391,383.0003397880355,127.01978647813667,171,388,132,999.98193,999.9326,996.0439
4,36,152.00020974804647,323.00002449471503,121.02078661322594,157,328,126,999.9607,999.99805,995.84393
4,37,151.00020992883947,449.00033758662175,127.00281293690205,156,454,132,999.9607,999.93353,999.4387
4,38,399.0040723513812,805.0002762041986,183.01721000298858,404,810,188,999.19226,999.9501,996.56146
4,39,411.00454686640296,814.0000654740725,180.00152587890625,416,819,185,999.0967,999.99207,999.6983
4,40,428.0040718652308,783.000382152386,190.00010466389358,433,788,195,999.19226,999.9284,999.98254
4,41,771.0032753545092,802.0004076743498,187.01055214181542,776,807,192,999.32886,999.92377,997.89307
4,42,1077.0008988863556,809.0002759583294,241.01047185622156,1082,814,246,999.81555,999.95,997.9096
4,43,856.0024563584011,799.0001971852034,180.00955215469003,861,804,185,999.4974,999.9659,998.0931
4,44,778.0018026846228,306.000213583,509.00972840189934,783,311,514,999.64044,999.9546,998.06067
4,45,654.0043557552854,312.00021367147565,516.0128073245287,659,317,521,999.13116,999.9546,997.4448
4,46,672.0014606766636,307.00021359324455,491.0115182697773,677,312,496,999.70966,999.9546,997.7027
4,47,608.003913423745,382.0004743107129,478.00972892157733,613,387,483,999.21576,999.90393,998.06067
4,48,665.0008598956047,303.00021361233667,518.0115178171545,670,308,523,999.8268,999.95465,997.7027
4,49,569.0040158348856,306.000213583,513.0115179475397,574,311,518,999.19806,999.9546,997.7027
4,50,675.0019629468443,319.0000031358795,508.012807412073,680,324,513,999.60803,999.9967,997.4448
4,51,577.0012260222575,315.00021367520094,510.00943923555315,582,320,515,999.75604,999.9546,998.11835
4,52,666.0047505416442,309.0002136473777,515.0145967211574,671,314,520,999.0504,999.9546,997.08685
4,53,668.0055397637188,315.00021367520094,513.0102285202593,673,320,518,998.8916,999.9546,997.9606
4,54,724.0001436392777,313.00021368835587,532.0145966224372,729,318,537,999.96967,999.9546,997.08685
4,55,686.0004076921614,309.00021361373365,531.0096495933831,691,314,536,999.9168,999.9546,998.0759
4,56,634.0035701020388,312.0002136444673,511.0039922390133,639,317,516,999.2771,999.9546,999.2073
4,57,821.00514517189,721.0004894454032,178.0245258193463,826,726,183,998.96606,999.9083,995.09827
4,58,724.0006203118246,802.0002760756761,184.00181532418355,729,807,189,999.8704,999.95,999.6404
4,59,834.0051963835722,314.00000305101275,508.012807412073,839,319,513,998.9573,999.9967,997.4448
4,60,747.0026696029818,310.0002136239782,530.014440195635,752,315,535,999.464,999.9546,997.1178
4,61,786.0026158752153,313.00021365471184,529.0117284357548,791,318,534,999.47125,999.9546,997.6603
4,62,883.0031399574364,305.00021357275546,554.0099386367947,888,310,559,999.36597,999.9546,998.01825
4,63,869.0049033846008,307.0002136268886,513.0145184081048,874,312,518,999.01416,999.9546,997.1023
4,64,928.0012967870571,306.000213583,521.012439372018,933,311,526,999.7341,999.9546,997.5178
4,65,955.0016119062202,317.0002137226984,519.0114395935088,960,322,524,999.67017,999.9546,997.71796
4,66,962.0011119551491,314.0002136649564,511.00130920065567,967,319,516,999.7681,999.9546,999.74225
4,67,657.0000736194197,434.00020934361964,409.00191474845633,662,439,414,999.9721,999.95795,999.6231
4,68,652.00209747802,320.0000818326371,537.0042809802108,657,325,542,999.56744,999.9809,999.1497
4,69,612.0047323832987,453.0004454749869,395.0007830905961,617,458,400,999.0408,999.9109,999.8499
4,70,915.000060071703,309.00021361373365,530.0097280498594,920,314,535,999.9794,999.9545,998.06067
4,71,904.002428976004,310.0002136239782,526.0122288111597,909,315,531,999.50476,999.9546,997.5602
4,72,916.0001391537953,316.0002136854455,497.0140187237412,921,321,502,999.9656,999.9546,997.2022
4,73,584.0003901452292,311.0002136678668,511.0032028234564,589,316,516,999.9073,999.9546,999.365
4,74,551.0025243852288,782.0004870034754,1721.0033727280097,556,787,1726,999.4815,999.90796,999.29517
4,75,553.0025243787095,808.0000654421747,1724.0035555980867,558,813,1729,999.4815,999.99207,999.2576
4,76,541.002524417825,810.000565421884,1824.0012126875808,546,815,1829,999.4815,999.8921,999.72546
4,77,531.0025244504213,787.0040658470243,1856.19307950628,536,792,1861,999.4815,999.19226,961.35455
4,78,521.0025244830176,787.0040658470243,1856.095078326296,526,792,1861,999.4815,999.19226,980.9527
4,79,554.0025243754499,783.0040659140795,1828.1015277514234,559,788,1833,999.4815,999.19226,979.66364
4,80,564.0025243428536,780.004065964371,1828.2704471629113,569,785,1833,999.4815,999.19226,945.8789
4,81,543.0025244113058,807.0000654655742,1831.0023424864048,548,812,1836,999.4815,999.99207,999.49927
4,82,1118.0052432082593,387.00026361458004,472.00965025648475,1123,392,477,998.93823,999.9454,998.0759
4,83,1057.0052935195854,314.0002136649564,508.0122290663421,1062,319,513,998.92944,999.9546,997.5602
4,84,1046.9999252964044,315.00021367520094,528.0124397203326,1052,320,533,1000.00244,999.9546,997.51776
