seed,episode,reward_1458,reward_2259,reward_2821,clicks_1458,clicks_2259,clicks_2821,cost_1458,cost_2259,cost_2821
2,1,129.0001809435198,250.0003876920091,178.0003154911101,134,255,183,999.96204,999.92,999.93896
2,2,208.00024114490952,246.00039470940828,258.0004754237598,213,251,263,999.9539,999.91956,999.90393
2,3,166.0002101130085,366.0216870576842,133.00026183016598,171,371,138,999.95825,995.66284,999.94574
2,4,108.00010408018716,230.001524796593,126.00039339938667,113,235,131,999.97754,999.6933,999.9195
2,5,134.00031445734203,229.01534061366692,138.00184077909216,139,234,143,999.93646,996.9302,999.6301
2,6,116.00018278986681,308.00552755687386,131.00047245062888,121,313,136,999.96216,998.89246,999.90375
2,7,89.00031439226586,212.00694507954177,153.00041934626643,94,217,158,999.93665,998.60913,999.9139
2,8,96.00044512655586,192.00397181883454,138.00039340765215,101,197,143,999.9123,999.2038,999.91956
2,9,92.0001037985785,253.00357968593016,117.00018299708609,97,258,122,999.97876,999.2819,999.96155
2,10,110.00034028117079,666.0048621296883,445.00027643714566,115,671,450,999.9331,999.0277,999.94366
2,11,119.00020865770057,678.0005201466847,446.00035541295074,124,683,451,999.9593,999.89606,999.92786
2,12,116.00015654414892,686.0045987432823,431.0000654722098,121,691,436,999.96954,999.07983,999.98584
2,13,135.00021018087864,721.0057564453455,414.00035451888107,140,726,419,999.95844,998.8491,999.92786
2,14,106.00039230810944,692.0025986369001,411.01874926686287,111,697,416,999.92255,999.47986,996.2488
2,15,363.011800467968,661.0048619806767,215.0171630755067,368,666,220,997.63824,999.0277,996.5702
2,16,346.0117999613285,765.0023903670954,223.0004789645318,351,770,228,997.63824,999.52216,999.907
2,17,346.0117999613285,703.0024928615894,228.0002684548963,351,708,233,997.63824,999.50104,999.949
2,18,350.0048527121544,672.0027302503586,223.00047901750077,355,677,228,999.0277,999.454,999.907
2,19,97.02207663655281,661.0027830004692,399.0003532503033,102,666,404,995.586,999.4435,999.92865
2,20,96.0133398687467,663.0048620402813,422.01051275245845,101,668,427,997.3334,999.0277,997.8961
2,21,97.02078714966774,672.0048623085022,436.0002761419164,102,677,441,995.84393,999.0277,999.9434
2,22,102.00102455168962,610.001622274518,290.00024246645626,107,615,295,999.7962,999.67487,999.9535
2,23,106.01512916013598,459.0043767616153,320.0002693767892,111,464,325,996.9755,999.1276,999.94684
2,24,111.00020914024208,657.0035456120968,348.00887686014175,116,662,353,999.95844,999.29126,998.22455
2,25,107.02094615250826,675.0016252733767,365.0003774308134,112,680,370,995.8119,999.67505,999.9246
2,26,139.00468311086297,702.0024097128771,327.0004547946155,144,707,332,999.06445,999.5165,999.9098
