seed,episode,reward_1458,reward_2259,reward_2821,clicks_1458,clicks_2259,clicks_2821,cost_1458,cost_2259,cost_2821
0,36,271.0002413932234,334.01716584619135,372.0084799285978,276,339,377,999.94415,996.5702,998.2968
0,37,288.0002416782081,332.00634997710586,349.00847954303026,293,337,354,999.94415,998.73334,998.2968
0,38,261.00489912054036,339.0027711922303,366.00847982801497,266,344,371,999.0126,999.4491,998.2968
0,39,291.00024172849953,327.000191998668,317.009397235699,296,332,322,999.94415,999.96497,998.1123
0,40,285.0002416279167,345.00048175174743,368.0084798615426,290,350,373,999.94415,999.907,998.2968
0,41,418.00536154583097,328.0037709698081,529.0097280666232,423,333,534,998.9343,999.24915,998.06067
0,42,412.0040721334517,334.0037711095065,500.0097285527736,417,339,505,999.19226,999.24915,998.06067
0,43,409.0040721837431,337.0006922185421,431.00670506991446,414,342,436,999.19226,999.8649,998.66583
0,44,415.0040720831603,511.00023727025837,204.00737056043,420,516,209,999.19226,999.95746,998.5231
0,45,423.00407194904983,713.000490045175,209.00737061165273,428,718,214,999.19226,999.90814,998.5231
0,46,412.00357213348616,795.0068552196026,190.0073704170063,417,800,195,999.29224,998.6344,998.5231
0,47,437.00407171435654,783.0000397507101,199.0068705092417,442,788,204,999.19226,999.9975,998.62305
0,48,408.0040722005069,637.0018098084256,198.01073889341205,413,642,203,999.19226,999.6433,997.8494
0,49,405.00407225079834,807.0004866439849,276.00310260709375,410,812,281,999.19226,999.9081,999.37537
0,50,473.0021515383851,188.0003121709451,289.01123382151127,478,193,294,999.5772,999.9386,997.75006
0,51,447.0043610135326,247.00605389196426,489.0088607715443,452,252,494,999.1344,998.7891,998.2339
0,52,423.0035719424486,191.00252213329077,512.0097283516079,428,196,517,999.29224,999.4965,998.06067
0,53,416.0040720663965,188.00181249901652,514.0084388907999,421,193,519,999.19226,999.63684,998.31854
0,54,395.0053618918173,202.00505051016808,519.0094388984144,400,207,524,998.9344,998.98846,998.11835
0,55,443.0040716137737,239.02402400318533,546.0102278739214,448,244,551,999.19226,995.1929,997.9606
