episode,clicks_a0_mean,clicks_a0_std,clicks_a1_mean,clicks_a1_std,clicks_a2_mean,clicks_a2_std,cost_a0_mean,cost_a0_std,cost_a1_mean,cost_a1_std,cost_a2_mean,cost_a2_std
1,138.2,27.77048793233565,259.6,24.40901472816959,190.4,20.707486568871655,999.948668,0.033064209048438445,999.929926,0.025005561981268753,999.958734,0.035698243374155295
2,162.6,40.37697363597228,232.8,28.968948893599855,197.4,43.883937836069364,999.938372,0.017854100929476396,999.93413,0.03406638812669176,999.9444880000001,0.03289894481592488
3,150.4,29.90484910512006,267.0,61.33106879877441,212.4,51.09598810082842,999.961082,0.034375567195339365,999.086646,1.9142277123895357,999.271446,1.5269080585549575
4,129.2,20.30270917882636,215.4,23.29806858947754,175.0,41.309805131469695,999.937112,0.040706467790729825,999.4040400000001,0.7145069649765418,999.64452,0.3989959367587432
5,126.0,18.934096228761486,239.2,22.03860249652868,190.8,66.33023443347686,999.840444,0.16925355440877254,998.46021,1.5883869983256296,999.6383,0.5201764940863837
6,108.4,10.85357084097211,261.8,62.535589866890994,174.6,35.61319980007413,999.9531039999999,0.01682914971112113,999.746218,0.4776433567212931,998.51194,1.9705966733580835
7,150.2,111.11795534475965,254.0,83.08730348254178,170.0,26.04803255526221,999.955096,0.018173822657875156,998.5231720000002,1.5322448150572783,999.0500679999999,1.7514881232597528
8,100.8,10.425929215182693,289.2,165.80319659162186,237.8,194.38544184171818,999.9619319999999,0.03487289950665795,998.8679599999999,1.879693916040564,999.942704,0.026002543721692504
9,126.2,40.03373577371965,299.8,167.62070277862458,197.8,108.88847505590294,999.296892,1.4747127461204288,999.1548500000001,0.9036695178548542,999.891242,0.12678209778985924
10,145.8,62.351423399951344,359.0,209.74389144859498,273.8,158.25359395602996,999.1308599999999,1.368147317725709,998.3449619999999,1.9202846465354837,999.89427,0.12312010518188343
11,122.6,27.45541840875859,378.0,228.44364731810776,682.6,993.8291100586661,998.913612,1.4583289264497175,816.3835740000002,407.90163052545387,998.91919,1.462652049463574
12,121.0,28.38133189263675,268.0,254.78422243145278,734.6,1119.0789963179543,999.314396,1.4352201368709832,799.752026,447.0751196392692,943.8968959999999,125.03753149839565
13,130.2,27.77048793233565,273.4,269.5937684739764,760.0,1157.7061371522568,999.785828,0.3788133824457711,799.224868,446.7814813022761,925.2998180000001,165.8313090123304
14,320.4,419.9217784302214,730.6,873.5990499079082,249.2,127.28197044357854,998.9807719999999,1.8677534551621018,849.45522,336.22042585265075,998.779682,1.5819839558668074
15,459.6,595.9205483955055,532.0,496.84655578961195,169.2,34.895558456628834,998.587604,2.020999818834722,829.386448,380.4038425397971,999.0329020000001,1.4053942733339913
16,781.2,826.806325568449,727.0,974.4367603903293,178.8,36.40329655402104,892.978804,235.3558145798669,654.7627548,481.47644906599754,998.6387000000001,1.6028599630816345
17,975.4,1070.721859308009,267.8,263.3499572811813,175.6,39.23391390111367,822.2637520000001,243.28119299007554,745.5793719999999,433.04641352001437,998.4641100000001,2.0003849215713476
18,593.4,896.2172169736531,941.8,1475.5616557772162,253.4,152.49524582753395,966.699002,72.69224660863095,761.0958800000001,433.6539514646786,999.011322,1.7836814596278072
19,955.4,1144.2785063086696,175.8,289.1352624637818,721.4,1129.2527617854207,813.6105439999999,254.92472925143184,399.88661199999996,547.5673286265925,892.9171640000001,235.23139966332434
20,932.8,1124.4043756585083,188.0,279.33581940023373,739.6,1161.9177251423614,892.87518,234.08688135561644,401.7707704,545.6436339593968,895.112828,230.32519480428851
21,418.4,409.0969322788916,799.2,1176.7220147511475,735.4,1141.3134100675416,997.487458,1.8440918332393055,662.5271839999999,474.78752605711355,895.1315440000001,232.8798173822673
22,295.6,308.85401082064647,751.8,1131.669651444272,716.0,1170.016239203542,998.366084,1.4488703004340713,660.145286,477.216508024155,894.777746,232.89420011777233
23,488.4,790.6954533826535,276.0,215.91201911889945,710.0,1149.7171391259678,997.6404460000001,1.8444091872683785,611.491876,531.9584373440925,893.777692,236.66467354081948
24,200.2,89.22275494513717,217.6,270.38546558570783,1195.2,1266.2083951704,998.048778,2.121153226412452,599.8523720000001,547.5878655569478,780.1469920000001,300.38168775820156
25,166.0,36.932370625238775,312.4,252.4783159005937,1277.6,1190.7990174668437,997.755124,1.65082003308356,799.3430900000001,446.847946323143,892.2179060000001,240.04136307498482
26,183.6,61.2396930103344,357.8,252.4701962608656,734.0,1084.858746565653,998.619868,1.178531944993426,799.305752,446.8270223190273,891.9146539999999,239.8723646876855
27,366.8,375.2441871635056,281.6,243.92990796538254,731.8,1078.3826779024225,998.782674,1.2583663525698703,799.917942,447.16772718584286,892.2837740000001,240.07835547927175
28,196.8,42.198341199625375,143.8,136.65540604015635,1211.2,1341.6138416101705,998.4238940000001,1.4207035127288334,599.956602,547.6829408155244,786.706632,291.32697084131286
29,238.8,126.69530378036907,144.0,136.03124641052142,1212.6,1359.9127913215611,997.8009479999998,1.8038007840446222,599.6891899999999,547.439143032242,785.417062,292.9866427617807
30,522.4,593.7363051052209,296.8,404.04418075255086,1303.0,1273.6679316054087,998.2682000000001,1.1920260714430535,441.101634,516.470121293067,785.473766,292.84905203089295
31,279.0,167.2468235871761,216.4,135.0492502755939,1073.2,1044.9747365367261,997.311758,1.2143821245061197,798.998178,446.6557085246621,892.6863000000001,238.31463900293664
32,354.6,293.1088534998559,297.2,51.85749704719656,642.6,687.0930068047558,997.3903459999999,1.6804939977816087,998.1157880000001,1.980163291428271,998.8381139999999,0.8644077832423644
33,241.8,189.9886838735402,285.2,59.41969370503352,384.0,223.6883993415841,998.0326860000001,1.4617736112271216,999.0026439999999,1.4978196409882012,999.1818079999999,1.0793273799316263
34,333.2,148.7723092514195,238.8,138.70544329621674,833.4,934.0633276175656,998.16661,1.5363882526887882,798.991954,446.65220860475335,885.046804,255.32036500604653
35,315.6,137.7944120782842,252.4,154.31234558517994,807.0,974.347987117539,999.051894,1.6051267440081054,799.0000200000001,446.65674465131724,884.349568,254.93402945943478
36,317.8,151.0784564390304,376.6,172.61604792139113,367.2,224.17671600770674,999.102372,1.0028826011902063,998.2597099999999,1.7940841000354626,998.6037239999999,1.6639314822221443
37,225.6,90.35374923045529,411.2,170.30766277534315,260.2,82.04693778563586,999.5412899999999,0.7243449923896932,999.411074,0.7185803572183221,999.0173199999999,0.6907700608741162
38,624.8,657.2942263552906,338.6,295.7580091899457,706.0,994.5159626672666,998.6065999999998,0.6371053710337263,799.566552,446.97166013238416,884.497592,254.4948055841559
39,664.2,737.5209827523554,333.8,301.345648715889,693.8,989.1161205844337,947.2303459999999,115.19121250550877,799.662448,447.02531723808505,884.7933300000001,254.94776718618658
40,648.4,687.5073090520565,360.6,280.9800704676401,709.2,997.6874260007489,942.531862,124.97844958648359,799.4054399999999,446.8817180924086,884.7852740000001,255.0322096737832
41,543.8,273.38745399158313,512.2,231.62620749820172,340.4,155.7507624379412,998.61626,0.6756588856812176,999.5297119999999,0.641502808700009,998.932178,0.9864346510134712
42,496.2,330.33119743675434,368.6,290.8114509437343,734.0,966.237807167573,998.2836020000001,1.3255447236966582,799.529716,446.95108208320687,884.9508239999999,254.9237332905307
43,615.8,388.58937195965615,367.2,287.28853092318184,710.0,975.8022340618,998.45062,0.8668110871464314,799.6665,447.02758443834875,884.97698,255.33793076681528
44,530.0,257.51019397297654,443.0,156.8932758278697,332.6,143.36247765716104,998.499302,1.3109089658782715,999.671446,0.6423884148083567,999.1251239999999,0.8538705250973534
45,483.8,176.24471623285618,344.2,255.4362934275394,759.6,949.452105163815,998.5616040000001,1.0013449766589133,799.6592880000001,447.02354392751363,884.6517039999999,254.98862827685412
46,416.0,151.71354586852158,358.6,286.2076169496542,758.4,989.7142516908605,998.76536,1.4219867417806826,799.419332,446.8895351537929,884.8651759999999,254.6428831917488
