episode,seed,steps,total_clicks,total_wins,total_cost,ppo_epochs_run,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,kl_1458,ratio_max_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,kl_2259,ratio_max_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,kl_3386,ratio_max_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,kl_2997,ratio_max_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476,kl_3476,ratio_max_3476
1,3,125000,814,10212,249385.27734375,4,143,1868,49993.73828125,99.98748016357422,9.018043518066406,3.9317150115966797,2.3977317810058594,0.0011005592532455921,1.0899969339370728,188,2670,49997.8203125,99.99568939208984,3.444206714630127,3.931704521179199,2.3976991176605225,0.0014692472759634256,1.1029455661773682,161,1878,49996.3046875,99.99269104003906,2.103036403656006,3.931701898574829,2.3977017402648926,0.0012644910020753741,1.1065999269485474,155,1528,49992.89453125,99.98577880859375,99.99329376220703,3.931718587875366,2.397709369659424,0.0011017632205039263,1.1033247709274292,167,2268,49404.51953125,98.80903625488281,3.1971540451049805,3.9316813945770264,2.397636890411377,0.0011851572198793292,1.0823323726654053
2,3,125000,909,8482,248200.9140625,4,148,1426,49993.828125,99.9876480102539,13.09698486328125,3.931302785873413,2.397292137145996,0.0004269671335350722,1.0620067119598389,198,1791,49985.0390625,99.97004699707031,3.694598436355591,3.931270122528076,2.39713454246521,0.0002929162874352187,1.054068684577942,186,1490,49971.4921875,99.9429931640625,31.420942306518555,3.9312355518341064,2.397397041320801,0.0004260420682840049,1.072288990020752,194,1884,49672.1953125,99.34435272216797,0.001373019185848534,3.931354284286499,2.397233486175537,0.0004857182502746582,1.076269268989563,183,1891,48578.359375,97.1567611694336,2.517137289047241,3.931220531463623,2.397094249725342,0.00038016081089153886,1.0637308359146118
3,3,125000,658,7783,249165.86328125,4,169,2084,49987.38671875,99.97480773925781,4.232605457305908,3.9306743144989014,2.396623373031616,0.000362558348570019,1.066055417060852,133,1540,49976.10546875,99.95209503173828,2.858745813369751,3.9307751655578613,2.3965492248535156,0.00029680729494430125,1.0683449506759644,140,1608,49998.7109375,99.99742126464844,46.63462448120117,3.9305620193481445,2.397169828414917,0.00020635603868868202,1.0437917709350586,133,1542,49212.86328125,98.42574310302734,2.747784376144409,3.9308526515960693,2.396902084350586,0.00020406961266417056,1.0431021451950073,83,1009,49990.796875,99.98160552978516,99.98898315429688,3.930859327316284,2.3968751430511475,0.00027358531951904297,1.0567561388015747
4,3,125000,956,8149,246773.09765625,4,147,1162,48913.8671875,97.82771301269531,22.87353515625,3.9299087524414062,2.3955721855163574,0.00029056071070954204,1.0519402027130127,179,1515,49993.7109375,99.98737335205078,1.0653314590454102,3.930203676223755,2.3957557678222656,0.0001908397680381313,1.0447100400924683,197,1789,49979.45703125,99.95903015136719,3.1351540088653564,3.9297244548797607,2.3967721462249756,0.00025847673532553017,1.06021249294281,242,1761,49095.30078125,98.19060516357422,0.0041432613506913185,3.930027484893799,2.396364450454712,0.00028661490068770945,1.0490659475326538,191,1922,48790.76171875,97.58155059814453,3.694336175918579,3.9302971363067627,2.396524667739868,0.0001660299312788993,1.0465338230133057
5,3,125000,701,7777,246082.21484375,4,137,1766,49919.65625,99.83935546875,99.19277954101562,3.9294817447662354,2.395063638687134,0.00018661736976355314,1.0409691333770752,134,1623,48816.91796875,97.63388061523438,17.37505340576172,3.9297618865966797,2.3953120708465576,0.00019574403995648026,1.0482648611068726,159,1989,49995.55859375,99.99111938476562,8.017548561096191,3.9293694496154785,2.39650559425354,0.00014819383795838803,1.0463801622390747,133,1059,47363.984375,94.72799682617188,0.0010000000474974513,3.9293630123138428,2.3958520889282227,0.00025503395590931177,1.0478140115737915,138,1340,49986.09765625,99.97219848632812,99.97514343261719,3.930051803588867,2.3963305950164795,0.0001341509778285399,1.0240325927734375
6,3,125000,807,8999,249105.203125,4,126,1381,49997.625,99.99518585205078,99.99913787841797,3.92848539352417,2.393794298171997,0.00043708086013793945,1.0696896314620972,151,1546,49991.5,99.98294067382812,3.9819018840789795,3.9287312030792236,2.3940722942352295,0.00025356767582707107,1.0554946660995483,182,2198,49996.44921875,99.99295806884766,4.148499488830566,3.9288127422332764,2.3960719108581543,0.00022664785501547158,1.0452696084976196,182,2321,49148.6796875,98.29730224609375,39.57451248168945,3.9281065464019775,2.39486026763916,0.00022072553110774606,1.044397234916687,166,1553,49970.94921875,99.94181823730469,99.89281463623047,3.929490804672241,2.395594596862793,0.00014220476441551,1.0393977165222168
7,3,125000,718,7361,249036.3671875,4,180,1687,49998.12109375,99.99616241455078,12.280800819396973,3.9273595809936523,2.3922994136810303,0.00023290871467906982,1.0348154306411743,121,1126,49693.2578125,99.386474609375,88.88846588134766,3.9280900955200195,2.39353084564209,0.0002030849427683279,1.04550039768219,155,1354,49416.1328125,98.83235931396484,15.780458450317383,3.9287028312683105,2.3959152698516846,0.00010673284123186022,1.034203290939331,75,875,49930.60546875,99.8612060546875,99.39633178710938,3.9270849227905273,2.394146203994751,0.00037356375833041966,1.0477685928344727,187,2319,49998.25,99.99647521972656,99.99952697753906,3.9291486740112305,2.395462989807129,0.00014867067511659116,1.0323536396026611
8,3,125000,1066,9653,248303.48046875,4,215,2077,49696.9765625,99.39392852783203,89.1414566040039,3.924954652786255,2.388680934906006,0.0004688739718403667,1.0587917566299438,246,1993,49821.9609375,99.64403533935547,4.933866500854492,3.9252331256866455,2.390347957611084,0.000370779016520828,1.071823239326477,234,2151,49995.28125,99.9904556274414,15.89179515838623,3.9278876781463623,2.395681619644165,0.00020243643666617572,1.048234462738037,187,1781,48795.359375,97.59078216552734,4.085987567901611,3.9238548278808594,2.391564130783081,0.0006092047551646829,1.0427560806274414,184,1651,49993.90234375,99.98785400390625,2.364588737487793,3.92844295501709,2.393455982208252,0.00018027544138021767,1.0451345443725586
9,3,125000,984,9790,247297.2109375,4,192,1682,49991.50390625,99.98297119140625,2.0929348468780518,3.9218978881835938,2.3845462799072266,0.00040875194827094674,1.054983377456665,226,1993,48220.32421875,96.44058227539062,1.9061250686645508,3.922041177749634,2.386610746383667,0.0006975650903768837,1.0685955286026,195,2211,49997.99609375,99.99590301513672,99.99937438964844,3.9272923469543457,2.3959224224090576,0.0003341960837133229,1.0656976699829102,191,1602,49966.22265625,99.9325180053711,99.8560791015625,3.91965913772583,2.3883862495422363,0.0005941843846812844,1.0780349969863892,180,2302,49121.1640625,98.2423095703125,14.017688751220703,3.927748918533325,2.391533851623535,0.0002532315265852958,1.0589659214019775
10,3,125000,848,8313,249944.58203125,4,145,1339,49995.890625,99.99183654785156,99.9977035522461,3.92138671875,2.3850412368774414,0.000316431513056159,1.0491005182266235,199,2023,49995.58984375,99.99120330810547,47.20874786376953,3.9216907024383545,2.3862175941467285,0.0004638147365767509,1.0807743072509766,188,1861,49975.4765625,99.95092010498047,1.8303614854812622,3.9279274940490723,2.3963232040405273,0.00019659280951600522,1.0377579927444458,154,1718,49994.1328125,99.98824310302734,3.008495807647705,3.9172375202178955,2.3870151042938232,0.00047859668848104775,1.0813852548599243,162,1372,49983.4921875,99.96699523925781,2.0418806076049805,3.927643299102783,2.3923869132995605,0.0003086113720200956,1.0592831373214722
11,3,125000,687,7125,249099.265625,4,110,1281,49986.00390625,99.97200012207031,99.9748306274414,3.917207956314087,2.3805036544799805,0.0005223584012128413,1.072997808456421,150,1370,49992.48828125,99.98495483398438,5.2858967781066895,3.917940616607666,2.381544828414917,0.0006931590614840388,1.1081548929214478,149,1419,49927.8984375,99.85581970214844,99.34891510009766,3.927509069442749,2.3963916301727295,0.00022166251437738538,1.039474606513977,127,1446,49216.09375,98.43217468261719,19.903881072998047,3.911133289337158,2.382028341293335,0.0007835602737031877,1.1008994579315186,151,1609,49976.78125,99.95359802246094,99.93156433105469,3.92671799659729,2.3900773525238037,0.0002605366753414273,1.0595483779907227
12,3,125000,899,8417,247764.17578125,4,229,1886,49443.6875,98.88738250732422,24.17385482788086,3.915181875228882,2.3802645206451416,0.0005891084438189864,1.085081934928894,113,952,49997.8125,99.99563598632812,99.99930572509766,3.9165456295013428,2.378937005996704,0.0009416890097782016,1.0577870607376099,227,2189,49388.921875,98.7777328491211,0.5319671630859375,3.926795482635498,2.3960838317871094,0.00022352933592628688,1.0544637441635132,92,965,49138.18359375,98.2763671875,5.125434875488281,3.9096028804779053,2.3792903423309326,0.0012247037375345826,1.1194957494735718,238,2425,49795.5703125,99.59117889404297,0.5108192563056946,3.926316976547241,2.3894379138946533,0.00031113624572753906,1.041406512260437
13,3,125000,1020,9031,249667.6171875,4,210,1695,49875.15234375,99.75028228759766,29.3378849029541,3.9142913818359375,2.3821568489074707,0.0005049061728641391,1.096474528312683,199,1642,49819.7578125,99.6395263671875,0.394969642162323,3.9118804931640625,2.3718557357788086,0.0006585121154785156,1.0698013305664062,191,1845,49988.015625,99.97600555419922,2.5557074546813965,3.926252603530884,2.3955235481262207,0.00023721932666376233,1.04524564743042,220,2044,49999.58984375,99.99920654296875,16.014263153076172,3.904845714569092,2.374347448348999,0.0004449343541637063,1.0722204446792603,200,1805,49985.1015625,99.97017669677734,75.45155334472656,3.926056385040283,2.3894619941711426,0.00032168388133868575,1.0672190189361572
14,3,125000,965,9000,246655.734375,4,168,1457,48744.81640625,97.48966217041016,13.946356773376465,3.909576416015625,2.3792636394500732,0.00046630858560092747,1.0742065906524658,163,1679,49064.69140625,98.12938690185547,7.357496738433838,3.9053685665130615,2.3596854209899902,0.0009406018070876598,1.0669580698013306,225,2350,49949.44140625,99.89888763427734,1.5785311460494995,3.924935817718506,2.3942930698394775,0.00018436192476656288,1.0440865755081177,177,1540,48898.5078125,97.79702758789062,21.933752059936523,3.900657892227173,2.3682024478912354,0.0006840157439000905,1.116598129272461,232,1974,49998.27734375,99.99658203125,28.20962905883789,3.924499988555908,2.3874309062957764,0.00012766837608069181,1.0306733846664429
15,3,125000,756,7268,247193.70703125,4,191,2012,48680.171875,97.36027526855469,11.324319839477539,3.9074151515960693,2.3785195350646973,0.0004696130636148155,1.0750802755355835,85,1016,49987.6171875,99.97527313232422,99.98027038574219,3.9046521186828613,2.3558566570281982,0.0007844853098504245,1.0889170169830322,160,1455,49975.94140625,99.95189666748047,8.697391510009766,3.925051689147949,2.394059896469116,0.00017449140432290733,1.0537254810333252,158,1361,49997.5,99.99497985839844,5.92946720123291,3.902292490005493,2.367582321166992,0.00035177229437977076,1.0455760955810547,162,1424,48552.4765625,97.10494995117188,6.542307376861572,3.9251315593719482,2.389922857284546,0.00024677274632267654,1.069366216659546
16,3,125000,699,8177,248180.55078125,4,113,982,49983.43359375,99.96685028076172,99.96484375,3.9040825366973877,2.3755135536193848,0.0004246592288836837,1.0728111267089844,172,2116,49934.6796875,99.8693618774414,1.166145920753479,3.900454521179199,2.350620985031128,0.0008908367017284036,1.0802890062332153,180,2315,49995.2421875,99.99054718017578,3.622983694076538,3.9247350692749023,2.3935530185699463,0.00019586562120821327,1.0590018033981323,116,1306,49995.296875,99.99056243896484,2.587463617324829,3.898484706878662,2.3638322353363037,0.0005311393761076033,1.0578027963638306,118,1458,48271.8984375,96.54378509521484,2.390139579772949,3.9245736598968506,2.3908896446228027,0.0001872563298093155,1.0461057424545288
17,3,125000,977,9151,249702.1640625,4,206,1954,49997.40234375,99.99473571777344,65.8621597290039,3.9027159214019775,2.372838258743286,0.0003229784779250622,1.0734267234802246,198,1503,49841.51953125,99.68303680419922,0.08328729122877121,3.898265838623047,2.3498144149780273,0.0010510444408282638,1.1151736974716187,196,1800,49991.69921875,99.98342895507812,2.6842806339263916,3.9238195419311523,2.392326593399048,0.00022034643916413188,1.048619270324707,182,1860,49899.61328125,99.7991714477539,1.568493366241455,3.891950845718384,2.358511447906494,0.0014690565876662731,1.1682958602905273,195,2034,49971.9296875,99.94384765625,0.9716147780418396,3.923938512802124,2.390995979309082,0.0001752400421537459,1.0458414554595947
