episode,seed,steps,total_clicks,total_wins,total_cost,ppo_epochs_run,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,kl_1458,ratio_max_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,kl_2259,ratio_max_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,kl_3386,ratio_max_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,kl_2997,ratio_max_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476,kl_3476,ratio_max_3476
1,4,125000,784,7154,249488.55078125,4,165,1458,49994.625,99.98931884765625,99.99614715576172,3.9317028522491455,2.3977010250091553,0.0008700346807017922,1.0765329599380493,158,1569,49995.328125,99.99063110351562,4.909453392028809,3.931745767593384,2.3977315425872803,0.0008676719735376537,1.0856854915618896,153,1147,49976.9375,99.95384216308594,2.55804443359375,3.9317400455474854,2.3977768421173096,0.0008301925263367593,1.0832250118255615,165,1586,49610.0859375,99.22015380859375,82.67506408691406,3.931708335876465,2.3977577686309814,0.0008576035033911467,1.083201289176941,143,1394,49911.57421875,99.82320404052734,99.02349090576172,3.9317502975463867,2.397730588912964,0.0009204793022945523,1.0751899480819702
2,4,125000,858,8620,249144.734375,4,189,1702,49983.9375,99.96783447265625,2.311429262161255,3.931243896484375,2.3971667289733887,0.0004057550395373255,1.0611188411712646,187,1995,49997.71484375,99.99537658691406,74.7166748046875,3.931457757949829,2.397081136703491,0.0004238414694555104,1.0686042308807373,162,1529,49991.80859375,99.98362731933594,96.70962524414062,3.93141508102417,2.3973495960235596,0.00034185408730991185,1.067934274673462,178,1793,49174.09765625,98.34825134277344,42.311859130859375,3.9312751293182373,2.397209644317627,0.00043652293970808387,1.0643514394760132,142,1601,49997.17578125,99.99439239501953,13.978690147399902,3.931468963623047,2.397132158279419,0.0003648638667073101,1.0586049556732178
3,4,125000,789,8118,249274.98828125,4,155,1883,49950.67578125,99.9013900756836,1.4905253648757935,3.9305760860443115,2.396327257156372,0.0003080940223298967,1.0687259435653687,155,1614,49953.578125,99.90715026855469,0.9550147652626038,3.931047201156616,2.396360397338867,0.0002669048262760043,1.049656867980957,142,1466,49386.55078125,98.7730484008789,62.45355224609375,3.9308712482452393,2.396739959716797,0.00034944532671943307,1.0415037870407104,152,1283,49999.41015625,99.99884033203125,99.99993133544922,3.9305419921875,2.396101713180542,0.00044574259663932025,1.063351035118103,185,1872,49984.7734375,99.96954345703125,6.163213729858398,3.931011199951172,2.3963656425476074,0.00023924827110022306,1.0431559085845947
4,4,125000,903,8313,249131.2421875,4,144,1025,49980.640625,99.96129608154297,5.794518947601318,3.92997670173645,2.3952841758728027,0.00024848460452631116,1.0396634340286255,177,1192,49656.1328125,99.3122329711914,86.24320220947266,3.9307494163513184,2.3961288928985596,0.00014662503963336349,1.031940221786499,226,2540,49540.26171875,99.0805892944336,76.7671890258789,3.93027400970459,2.3958940505981445,0.0003496146237011999,1.0465483665466309,197,2043,49998.7421875,99.99746704101562,99.9997329711914,3.9295976161956787,2.394615411758423,0.00044403073843568563,1.0574955940246582,159,1513,49955.46484375,99.910888671875,2.048783540725708,3.9305107593536377,2.3958630561828613,0.00011466979776741937,1.036353588104248
5,4,125000,758,7890,245715.69140625,4,148,1401,48943.65234375,97.88729858398438,2.04807710647583,3.9285411834716797,2.3930294513702393,0.0004092263989150524,1.0718564987182617,145,1640,49318.5546875,98.63713073730469,2.151249885559082,3.9303786754608154,2.3957576751708984,0.00011485099821584299,1.0285382270812988,186,1455,48480.00390625,96.96002960205078,5.564828872680664,3.9291868209838867,2.394071340560913,0.0005264162900857627,1.0858708620071411,84,1270,49398.26953125,98.79656982421875,3.3047091960906982,3.9282848834991455,2.3926165103912354,0.00040561199421063066,1.0667628049850464,195,2124,49575.2109375,99.15036010742188,79.78733825683594,3.929654359817505,2.394993782043457,0.00023586749739479274,1.040357232093811
6,4,125000,813,8007,247144.01953125,4,194,1966,49419.3203125,98.8386001586914,18.27981185913086,3.9276702404022217,2.391963243484497,0.00028021811158396304,1.0431792736053467,115,1039,48522.02734375,97.04405975341797,1.833774209022522,3.93017578125,2.395620107650757,0.00018272637680638582,1.0385817289352417,62,785,49994.48828125,99.98898315429688,11.114473342895508,3.9283905029296875,2.3923449516296387,0.0005000638775527477,1.07158362865448,239,2016,49214.12109375,98.42826843261719,46.191322326660156,3.92671799659729,2.3909525871276855,0.00034236907958984375,1.0783076286315918,203,2201,49994.0625,99.98807525634766,15.958877563476562,3.9288816452026367,2.394542694091797,0.0001584744459250942,1.0351648330688477
7,4,125000,1054,9495,249925.33984375,4,215,2035,49996.7890625,99.9936294555664,2.4289474487304688,3.9268505573272705,2.391437292098999,0.00014486550935544074,1.0430763959884644,217,1996,49978.1171875,99.95622253417969,34.82542037963867,3.9293506145477295,2.394426107406616,0.0003631377185229212,1.0453553199768066,180,1544,49976.75390625,99.95343780517578,1.5860157012939453,3.9263877868652344,2.3884310722351074,0.0005871749017387629,1.0619438886642456,241,2156,49998.4609375,99.9969711303711,17.382246017456055,3.925347089767456,2.3892784118652344,0.0006333255441859365,1.0967637300491333,201,1764,49975.21875,99.9504165649414,94.07524108886719,3.928262948989868,2.3944594860076904,0.0002086567837977782,1.0451345443725586
8,4,125000,728,6798,248598.90234375,4,100,898,49973.73828125,99.94747924804688,36.634010314941406,3.9261720180511475,2.3912017345428467,0.00020173548546154052,1.0420637130737305,195,2047,49416.47265625,98.83292388916016,9.295448303222656,3.9282727241516113,2.3924856185913086,0.00025151489535346627,1.0407764911651611,147,1266,49984.82421875,99.9696044921875,1.9066044092178345,3.9239492416381836,2.3831701278686523,0.00045637128641828895,1.0614826679229736,124,1127,49228.78125,98.45755767822266,47.44089126586914,3.923002004623413,2.384742498397827,0.00029776571318507195,1.0573861598968506,162,1460,49995.0859375,99.99018859863281,99.99673461914062,3.927391290664673,2.3939952850341797,0.00014366864343173802,1.0416905879974365
9,4,125000,1080,10251,249120.51171875,4,217,1906,49975.765625,99.95148468017578,1.5205206871032715,3.9250950813293457,2.3909692764282227,0.0002626895729918033,1.0407631397247314,229,2132,49987.59765625,99.97518920898438,2.185401678085327,3.927093505859375,2.3907785415649414,0.0005396771593950689,1.0799459218978882,203,1842,49660.6875,99.3214340209961,86.58283996582031,3.921414375305176,2.3782260417938232,0.00045275449519976974,1.0691444873809814,204,1892,49497.98828125,98.99592590332031,68.61955261230469,3.9212052822113037,2.3809335231781006,0.00036354540497995913,1.055054783821106,227,2479,49998.47265625,99.99693298339844,85.85028076171875,3.926555633544922,2.3935484886169434,0.0002182436001021415,1.0428589582443237
10,4,125000,702,7296,248124.4609375,4,158,1911,49633.265625,99.26654052734375,24.928300857543945,3.924048900604248,2.3901491165161133,0.0003092765691690147,1.0511895418167114,198,2253,49997.90234375,99.99579620361328,99.99933624267578,3.9253551959991455,2.387925863265991,0.0006593585130758584,1.0864721536636353,78,654,49998.9765625,99.99793243408203,99.99980926513672,3.9202630519866943,2.3769478797912598,0.0003453707613516599,1.0572515726089478,142,1465,48496.9375,96.99386596679688,5.041599273681641,3.920079231262207,2.3769028186798096,0.0010954999597743154,1.0813130140304565,126,1013,49997.37890625,99.99474334716797,9.013630867004395,3.9256811141967773,2.392871618270874,0.000416743743699044,1.082095980644226
11,4,125000,768,7738,248268.2578125,4,180,2181,49986.95703125,99.97395324707031,1.7451227903366089,3.923405170440674,2.3903825283050537,0.0004664420848712325,1.039171814918518,207,2089,49234.57421875,98.46917724609375,42.09107971191406,3.923682689666748,2.384788751602173,0.00040497779264114797,1.0394766330718994,112,929,49987.7265625,99.97547912597656,7.367840766906738,3.9175126552581787,2.3747739791870117,0.0005447554285638034,1.0737082958221436,172,1465,49063.84765625,98.12773895263672,1.8308157920837402,3.917900323867798,2.3695778846740723,0.0010435867588967085,1.0770378112792969,97,1074,49995.15234375,99.99031829833984,99.9968490600586,3.924572706222534,2.3920955657958984,0.00040830133366398513,1.0528897047042847
12,4,125000,935,8497,247583.203125,4,196,1874,48912.1484375,97.82430267333984,5.735489368438721,3.922537088394165,2.390286922454834,0.00022714614169672132,1.065167784690857,229,2109,49991.4296875,99.98295593261719,99.99048614501953,3.9217185974121094,2.379697322845459,0.0005626106285490096,1.0832513570785522,151,1294,49997.55078125,99.99507904052734,99.99911499023438,3.913337230682373,2.3682799339294434,0.0006010746583342552,1.0706275701522827,185,1641,48846.48046875,97.69296264648438,0.5250186920166016,3.915285587310791,2.362610101699829,0.0006198954652063549,1.0724024772644043,174,1579,49835.59375,99.67118835449219,0.2600264847278595,3.920813798904419,2.38999080657959,0.0005512761999852955,1.049746036529541
