episode,seed,steps,total_clicks,total_wins,total_cost,ppo_epochs_run,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,kl_1458,ratio_max_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,kl_2259,ratio_max_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,kl_3386,ratio_max_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,kl_2997,ratio_max_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476,kl_3476,ratio_max_3476
1,2,125000,654,6997,249965.71484375,4,178,1876,49996.9765625,99.99397277832031,15.973698616027832,3.9317474365234375,2.3977415561676025,0.0007318210555240512,1.080992341041565,156,1682,49996.8828125,99.99371337890625,14.14450454711914,3.9317290782928467,2.3977596759796143,0.0008893131744116545,1.0835763216018677,77,862,49989.9140625,99.97982788085938,99.98676300048828,3.931720495223999,2.3977158069610596,0.0007182502304203808,1.0863507986068726,94,1060,49995.40625,99.99082946777344,99.99713897705078,3.931729316711426,2.3977131843566895,0.0009210181306116283,1.0755735635757446,149,1517,49986.53515625,99.97307586669922,4.0400166511535645,3.931730270385742,2.3977773189544678,0.0005706286174245179,1.0644259452819824
2,2,125000,843,9000,247983.12109375,4,152,1286,49995.875,99.9917221069336,99.99761962890625,3.931356191635132,2.396986484527588,0.00047240254934877157,1.0669326782226562,192,2145,49632.62109375,99.26528930664062,3.1723294258117676,3.9312744140625,2.397225856781006,0.00034265517024323344,1.080031394958496,147,1741,48373.8984375,96.747802734375,3.666022777557373,3.9312357902526855,2.39687442779541,0.000400705321226269,1.0587594509124756,206,2202,49994.2421875,99.98845672607422,3.396655797958374,3.9313061237335205,2.3967413902282715,0.0004886102396994829,1.061713457107544,146,1626,49986.484375,99.97294616699219,99.9764404296875,3.931325674057007,2.3972420692443848,0.00040673970943316817,1.0549410581588745
3,2,125000,959,9111,249772.57421875,4,186,1619,49922.578125,99.84518432617188,99.25003051757812,3.930781841278076,2.396124839782715,0.00037983417860232294,1.0553406476974487,178,1816,49878.20703125,99.75653076171875,0.37680429220199585,3.9306914806365967,2.3968276977539062,0.00023032187891658396,1.0672969818115234,214,2098,49974.890625,99.94979095458984,1.4711719751358032,3.930500030517578,2.395703077316284,0.0005088710458949208,1.064399003982544,177,1777,49999.1640625,99.99827575683594,99.9998550415039,3.930723190307617,2.3953065872192383,0.0003801393322646618,1.0544543266296387,204,1801,49997.734375,99.99555206298828,7.717597961425781,3.9307286739349365,2.396880865097046,0.00017463206313550472,1.0413916110992432
4,2,125000,838,8760,247512.95703125,4,121,1157,49035.30078125,98.07063293457031,26.314844131469727,3.9307048320770264,2.3963851928710938,0.0001528334541944787,1.0378183126449585,138,1308,49730.09375,99.46022033691406,4.08597993850708,3.9306280612945557,2.3971798419952393,0.00018035888206213713,1.0438246726989746,170,1908,48784.4609375,97.56888580322266,15.761947631835938,3.9301412105560303,2.395538806915283,0.00041931867599487305,1.066235899925232,241,2617,49993.7578125,99.98750305175781,66.49657440185547,3.930454730987549,2.395379066467285,0.00016028164827730507,1.037106990814209,168,1770,49969.34375,99.93862915039062,21.849214553833008,3.9306609630584717,2.3972930908203125,0.00015341280959546566,1.0417084693908691
5,2,125000,998,8997,247949.68359375,4,184,1880,49242.90234375,98.4858169555664,48.827579498291016,3.9296560287475586,2.3949360847473145,0.00024888754705898464,1.0557925701141357,254,2220,48741.4609375,97.48294067382812,13.799849510192871,3.9297783374786377,2.3964877128601074,0.00019405603234190494,1.0407462120056152,203,1888,49983.6015625,99.96724700927734,99.96564483642578,3.9280598163604736,2.3923120498657227,0.00039305686368606985,1.0693295001983643,174,1599,49989.76953125,99.97945404052734,1.0093344449996948,3.9289350509643555,2.39259672164917,0.00038945197593420744,1.0574249029159546,183,1410,49991.94921875,99.98384857177734,99.99140930175781,3.9297006130218506,2.396698236465454,0.00028990983264520764,1.0753166675567627
6,2,125000,1068,9327,248164.63671875,4,209,1826,49973.80078125,99.94766235351562,1.4934061765670776,3.929258346557617,2.3948686122894287,0.00014973878569435328,1.0429072380065918,193,1792,49975.421875,99.95084381103516,5.233901500701904,3.9298784732818604,2.396477699279785,7.651328633073717e-05,1.0279297828674316,208,1890,49963.58984375,99.92717742919922,58.93779373168945,3.9274306297302246,2.392258882522583,0.00010585069685475901,1.0285446643829346,203,1704,49515.44140625,99.03094482421875,67.36873626708984,3.9283714294433594,2.3925790786743164,0.0003244852996431291,1.0651648044586182,255,2115,48736.3828125,97.47280883789062,2.343716859817505,3.9295568466186523,2.396549701690674,0.00015948056534398347,1.040292739868164
7,2,125000,766,8655,248960.1875,4,160,2057,49985.2734375,99.9705581665039,5.177216529846191,3.9283628463745117,2.3942036628723145,0.0001999568921746686,1.051151990890503,183,2052,49979.25,99.95846557617188,3.3464667797088623,3.929532289505005,2.3960790634155273,0.00013389348168857396,1.0344409942626953,169,1891,49992.9140625,99.98582458496094,5.576138019561768,3.925358295440674,2.389814615249634,0.00036092757363803685,1.0633028745651245,107,1137,49007.328125,98.0146484375,29.16321563720703,3.927241802215576,2.3915727138519287,0.00040735959191806614,1.0817095041275024,147,1518,49995.421875,99.99091339111328,99.9971694946289,3.92887282371521,2.3960392475128174,0.00011580467253224924,1.0308985710144043
8,2,125000,818,8477,249033.5078125,4,173,1703,49177.5234375,98.35503387451172,27.082046508789062,3.9284634590148926,2.3947720527648926,0.0001692843361524865,1.027191400527954,158,1559,49961.859375,99.92372131347656,99.81640625,3.929581880569458,2.395954132080078,0.00011928796448046342,1.0350645780563354,138,1236,49938.6015625,99.87718200683594,99.52672576904297,3.924919843673706,2.389840841293335,0.00018412350618746132,1.0325376987457275,159,1733,49992.8359375,99.98568725585938,3.3399038314819336,3.9264354705810547,2.391340970993042,0.00022167204588185996,1.0396456718444824,190,2246,49962.6875,99.9253921508789,99.8243408203125,3.928650140762329,2.395803213119507,0.00017512559134047478,1.031386375427246
9,2,125000,662,7507,248863.203125,4,166,1743,49993.56640625,99.98719787597656,4.730355262756348,3.928358793258667,2.394865036010742,0.00014895439380779862,1.0452929735183716,83,1053,49966.75390625,99.93345642089844,99.86003112792969,3.9290356636047363,2.3951611518859863,0.0001544308615848422,1.0373796224594116,110,1082,49995.73046875,99.9914321899414,99.99750518798828,3.92390775680542,2.389583110809326,0.0002241301554022357,1.0505887269973755,113,1435,48912.765625,97.8255844116211,22.57874298095703,3.925746440887451,2.3908708095550537,0.00016249895270448178,1.0461217164993286,190,2194,49994.38671875,99.98873138427734,5.128521919250488,3.928004264831543,2.395528554916382,0.00017841815133579075,1.0374809503555298
10,2,125000,1042,9423,249522.9140625,4,199,1887,49957.50390625,99.91507720947266,5.578374862670898,3.927703857421875,2.3943264484405518,0.0001817440934246406,1.0434573888778687,194,1746,49989.91796875,99.97979736328125,2.456400156021118,3.9278838634490967,2.394108772277832,0.00019138335483148694,1.0556797981262207,196,1798,49988.4140625,99.97686767578125,8.037227630615234,3.9219810962677,2.388563871383667,0.00042434691567905247,1.0735567808151245,223,1846,49995.9375,99.99190521240234,5.4111857414245605,3.924232006072998,2.389542579650879,0.00016530751599930227,1.0400898456573486,230,2146,49591.140625,99.18224334716797,2.6507978439331055,3.926217794418335,2.3943088054656982,0.00044428586261346936,1.0746384859085083
11,2,125000,609,7298,249348.3203125,4,117,1192,49445.03515625,98.8901138305664,20.166011810302734,3.928180456161499,2.394998788833618,0.000105099672509823,1.0311541557312012,127,1164,49995.66796875,99.99134063720703,3.193188428878784,3.9282476902008057,2.395205497741699,0.00018802880367729813,1.045900821685791,102,1168,49966.12890625,99.93230438232422,99.85514831542969,3.923527479171753,2.3913586139678955,0.0002327871334273368,1.0400139093399048,108,1343,49945.8046875,99.89161682128906,99.63086700439453,3.9253649711608887,2.3923773765563965,0.0001338052679784596,1.0405784845352173,155,2431,49995.68359375,99.99134063720703,3.287442684173584,3.9263126850128174,2.394132137298584,0.00021806478616781533,1.0326381921768188
12,2,125000,757,7130,248000.359375,4,149,1410,49963.3046875,99.92654418945312,99.8296890258789,3.9273488521575928,2.3943705558776855,0.00015431165229529142,1.0418390035629272,144,1399,49943.65625,99.8873291015625,99.60124969482422,3.927919864654541,2.395383358001709,0.0003868651401717216,1.0947537422180176,152,1595,49991.5546875,99.98310852050781,3.7700753211975098,3.9220147132873535,2.391223907470703,0.00025075196754187346,1.042335033416748,180,1688,48125.0625,96.25010681152344,1.2336229085922241,3.924630641937256,2.393023729324341,0.00034808157943189144,1.0618116855621338,132,1038,49976.78125,99.95355224609375,99.93144989013672,3.9246973991394043,2.393317461013794,0.0003635335015133023,1.055902361869812
13,2,125000,666,7761,249070.3359375,4,167,1823,49995.66015625,99.99131774902344,4.429083824157715,3.9273829460144043,2.394718647003174,0.00019981860532425344,1.03525710105896,136,1806,49984.828125,99.96963500976562,99.97044372558594,3.927689790725708,2.395474433898926,0.00012388944742269814,1.0366055965423584,136,1517,49986.3046875,99.97259521484375,99.97582244873047,3.9209160804748535,2.391284227371216,0.0004353928379714489,1.0776058435440063,105,1085,49718.109375,99.43619537353516,90.53058624267578,3.924710512161255,2.393970489501953,0.00028591154841706157,1.0511776208877563,122,1530,49385.43359375,98.77079010009766,62.34523391723633,3.92240047454834,2.391922950744629,0.0004040956264361739,1.0773321390151978
