episode,seed,steps,total_clicks,total_wins,total_cost,ppo_epochs_run,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,kl_1458,ratio_max_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,kl_2259,ratio_max_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,kl_3386,ratio_max_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,kl_2997,ratio_max_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476,kl_3476,ratio_max_3476
11,1,125000,929,8058,249015.9765625,4,173,1386,49917.48046875,99.8349838256836,69.38908386230469,3.9230611324310303,2.387850522994995,0.0003262209938839078,1.061206340789795,165,1206,49933.5546875,99.86707305908203,45.608036041259766,3.9233367443084717,2.3900561332702637,0.00010413646668894216,1.0449540615081787,93,923,49263.59765625,98.5272216796875,50.64194107055664,3.9276466369628906,2.3948466777801514,0.00020535945077426732,1.0485029220581055,242,2049,49970.6640625,99.94132995605469,99.89098358154297,3.927408456802368,2.3949785232543945,0.0001538848882773891,1.043609619140625,256,2494,49930.6796875,99.8613510131836,0.9130385518074036,3.92159104347229,2.3907270431518555,0.00031393527751788497,1.0571043491363525
12,1,125000,1064,9271,245942.9765625,4,193,1794,49978.18359375,99.95641326904297,3.9282772541046143,3.922274351119995,2.3857240676879883,0.00027935265097767115,1.0466086864471436,232,1824,48158.0234375,96.31597137451172,0.484032541513443,3.9224188327789307,2.388716459274292,0.00039800882223062217,1.0802116394042969,193,1390,49387.31640625,98.77459716796875,62.52769470214844,3.9264211654663086,2.3939547538757324,9.081363532459363e-05,1.0256179571151733,221,2242,48438.11328125,96.87618255615234,4.734830856323242,3.9274346828460693,2.3947606086730957,0.0002594637917354703,1.0685935020446777,225,2021,49981.33984375,99.96273803710938,3.0674543380737305,3.918736457824707,2.3892228603363037,0.00027230739942751825,1.057560682296753
13,1,125000,790,8355,249962.25,4,194,2048,49996.6796875,99.99342346191406,99.99846649169922,3.922145366668701,2.385058641433716,0.0002422785764792934,1.0400402545928955,142,1214,49989.2265625,99.97846221923828,99.98499298095703,3.922081232070923,2.3874318599700928,0.00034311533090658486,1.0524479150772095,116,1212,49983.11328125,99.96619415283203,99.96343231201172,3.9261960983276367,2.3936848640441895,0.00013221502013038844,1.0363353490829468,172,1835,49997.9453125,99.99585723876953,5.094585418701172,3.9273183345794678,2.39454984664917,0.0001016306850942783,1.0236440896987915,166,2046,49995.28515625,99.99061584472656,5.840934753417969,3.9163918495178223,2.3881325721740723,0.0005079936818219721,1.0619468688964844
14,1,125000,892,7638,246931.5078125,4,128,1089,48603.671875,97.20740509033203,8.735527992248535,3.92244553565979,2.3852035999298096,8.297681779367849e-05,1.0264227390289307,211,1860,48594.546875,97.18907928466797,7.489449977874756,3.9210503101348877,2.3851373195648193,0.0002987193875014782,1.0727657079696655,212,2042,49991.31640625,99.98257446289062,1.4421775341033936,3.9262795448303223,2.3936915397644043,5.090474951430224e-05,1.0187633037567139,196,1394,49746.28515625,99.49263000488281,0.43378761410713196,3.926650285720825,2.3940932750701904,7.019042823230848e-05,1.0356708765029907,145,1253,49995.6875,99.99134826660156,99.99742889404297,3.914900541305542,2.387468099594116,0.0002799987851176411,1.049829125404358
15,1,125000,900,8973,249403.34765625,4,238,2703,49995.50390625,99.99102783203125,13.00599479675293,3.9224321842193604,2.3854281902313232,0.0002476215304341167,1.060519814491272,166,1596,49991.33984375,99.98262786865234,99.99014282226562,3.9201252460479736,2.3833329677581787,0.00016103744565043598,1.0523265600204468,169,1562,49953.04296875,99.90608978271484,99.722412109375,3.9269115924835205,2.3940467834472656,0.00017064809799194336,1.0603514909744263,133,1295,49996.984375,99.99393463134766,99.99871063232422,3.9252493381500244,2.3927550315856934,0.0003605699457693845,1.0728588104248047,194,1817,49466.4765625,98.93289184570312,70.03885650634766,3.9132702350616455,2.3871476650238037,0.00042981861042790115,1.0944733619689941
16,1,125000,1022,9561,248875.8828125,4,188,1829,49996.65625,99.99329376220703,99.99842071533203,3.9194066524505615,2.3814830780029297,0.00023782014613971114,1.0328682661056519,207,1697,49979.84765625,99.95968627929688,1.4211028814315796,3.9169790744781494,2.377917528152466,0.0005359387141652405,1.0728726387023926,201,1882,49729.67578125,99.45933532714844,23.012056350708008,3.9267525672912598,2.3937828540802,0.00016721486463211477,1.0353114604949951,216,1999,49996.32421875,99.99271392822266,3.8639533519744873,3.921393632888794,2.389064073562622,0.000791285012383014,1.1006275415420532,210,2154,49173.37890625,98.34680938720703,36.05626678466797,3.909231424331665,2.384549617767334,0.0004540610243566334,1.078322410583496
17,1,125000,1037,9432,249637.203125,4,201,2020,49764.96875,99.52993774414062,0.08053171634674072,3.920915365219116,2.3854730129241943,0.00016888140817172825,1.043247938156128,212,1547,49998.35546875,99.9967041015625,7.362950801849365,3.915893793106079,2.374415874481201,0.0007667589234188199,1.1146914958953857,196,1795,49990.3984375,99.98081970214844,3.648904800415039,3.928408145904541,2.3950984477996826,0.00011110067134723067,1.0330085754394531,215,2177,49981.8828125,99.96379852294922,2.3491079807281494,3.9201507568359375,2.38729190826416,0.00028440714231692255,1.0646777153015137,213,1893,49901.59765625,99.80317687988281,3.3534531593322754,3.9117465019226074,2.3853604793548584,0.0002517557004466653,1.0518488883972168
18,1,125000,726,8507,249899.09765625,4,146,2073,49941.0625,99.88211059570312,1.2494862079620361,3.921722412109375,2.387782335281372,0.00030246973619796336,1.0889123678207397,123,1314,49977.91796875,99.95581817626953,99.93791961669922,3.916496515274048,2.375676155090332,0.00038038729690015316,1.0844178199768066,134,1325,49988.90625,99.97783660888672,99.98408508300781,3.92903733253479,2.3955893516540527,6.628990377066657e-05,1.0398489236831665,156,1418,49994.125,99.98821258544922,8.83362865447998,3.919654369354248,2.3862297534942627,0.00043433665996417403,1.065793752670288,167,2377,49997.0859375,99.99414825439453,5.619693279266357,3.9145045280456543,2.386371612548828,0.00022458314197137952,1.047757625579834
19,1,125000,883,8008,246058.69140625,4,206,1944,49240.24609375,98.48047637939453,1.2746995687484741,3.911308765411377,2.3787665367126465,0.00043653487227857113,1.0647920370101929,161,1332,48449.546875,96.89899444580078,4.949723243713379,3.909428119659424,2.3657426834106445,0.000528850534465164,1.08974289894104,156,1515,49971.93359375,99.94377899169922,1.5302802324295044,3.9269814491271973,2.3935465812683105,0.0002101492864312604,1.0397125482559204,160,1426,48462.171875,96.92431640625,0.07203470170497894,3.9112799167633057,2.3770430088043213,0.00042762994416989386,1.0882059335708618,200,1791,49934.79296875,99.8694839477539,12.634349822998047,3.904033660888672,2.376826763153076,0.0006293129990808666,1.0891817808151245
20,1,125000,945,8185,248744.59765625,4,194,1544,49961.5703125,99.92317199707031,1.6807482242584229,3.916733980178833,2.385057210922241,0.0003029489307664335,1.064733624458313,167,1406,49487.57421875,98.97511291503906,13.277499198913574,3.9130070209503174,2.372436761856079,0.00033325908589176834,1.0768457651138306,214,1944,49987.46484375,99.97490692138672,11.2698335647583,3.927712917327881,2.3943381309509277,5.751848220825195e-05,1.0262088775634766,180,1414,49983.15234375,99.96636962890625,4.625490188598633,3.914994955062866,2.3797342777252197,0.0005799317150376737,1.1012228727340698,190,1877,49324.8359375,98.6496810913086,56.54458236694336,3.907916784286499,2.3791134357452393,0.0005063676508143544,1.084368109703064
