episode,seed,steps,total_clicks,total_wins,total_cost,ppo_epochs_run,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,kl_1458,ratio_max_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,kl_2259,ratio_max_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,kl_3386,ratio_max_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,kl_2997,ratio_max_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476,kl_3476,ratio_max_3476
1,0,125000,635,1876,237099.87890625,4,133,377,49983.7265625,99.96745300292969,99.96607971191406,3.931748628616333,2.397754669189453,0.0008128714398480952,1.1033294200897217,118,294,37212.078125,74.42416381835938,0.0010000000474974513,3.9317517280578613,2.3977670669555664,0.0007299446733668447,1.0974208116531372,130,450,49985.0234375,99.97003936767578,0.07522734254598618,3.931729555130005,2.397759437561035,0.0007118892390280962,1.0824768543243408,129,385,49943.484375,99.88697052001953,99.59876251220703,3.9317500591278076,2.3977625370025635,0.000714154215529561,1.0973920822143555,125,370,49975.56640625,99.95111846923828,99.92414093017578,3.9317433834075928,2.397756338119507,0.0008484363206662238,1.0965750217437744
2,0,125000,458,1642,226180.88671875,4,92,206,40019.63671875,80.03927612304688,0.0010000000474974513,3.931391477584839,2.39705753326416,0.00041800260078161955,1.0798990726470947,88,383,47660.46484375,95.32093048095703,0.10669413954019547,3.931439161300659,2.397460699081421,0.00033614158746786416,1.0513274669647217,88,323,41667.31640625,83.33465576171875,0.0010000000474974513,3.931312084197998,2.3970656394958496,0.0005881547695025802,1.0808171033859253,111,284,46838.328125,93.6766357421875,0.0010000000474974513,3.9313817024230957,2.3971824645996094,0.0007172203040681779,1.1039988994598389,79,446,49995.140625,99.99027252197266,99.99679565429688,3.9314041137695312,2.3972153663635254,0.0004567480063997209,1.0757325887680054
3,0,125000,792,2157,248023.30078125,4,185,527,49980.234375,99.9604721069336,99.95018768310547,3.930856943130493,2.396584987640381,0.00020750283147208393,1.0506078004837036,175,415,49983.5234375,99.96704864501953,99.96522521972656,3.930943250656128,2.397214889526367,0.000367984757758677,1.0631375312805176,95,372,49900.7265625,99.80143737792969,98.77052307128906,3.9309475421905518,2.39630126953125,0.00019290685304440558,1.0365779399871826,171,424,48392.2109375,96.78441619873047,3.947577953338623,3.9306881427764893,2.3962645530700684,0.0006345867877826095,1.088248372077942,166,419,49766.60546875,99.533203125,93.40605163574219,3.930921792984009,2.396810293197632,0.0004593968333210796,1.0856367349624634
4,0,125000,542,2322,248637.9609375,4,127,331,49938.09375,99.87619018554688,3.8384268283843994,3.9308509826660156,2.3970820903778076,5.401372618507594e-05,1.0203429460525513,134,476,49968.1015625,99.93621063232422,99.87133026123047,3.930586576461792,2.397035837173462,0.00013851880794391036,1.0311866998672485,159,563,49914.6171875,99.8292465209961,1.8868076801300049,3.9308652877807617,2.396263599395752,0.00010589599696686491,1.0297484397888184,73,370,49436.0078125,98.87201690673828,3.3340561389923096,3.930109739303589,2.395883798599243,0.00027967928326688707,1.0584237575531006,49,582,49381.140625,98.76227569580078,0.6595913767814636,3.9309258460998535,2.397080659866333,0.00011522530985530466,1.039252519607544
5,0,125000,686,2176,249796.05078125,4,63,453,49921.9296875,99.84386444091797,0.625290036201477,3.929788827896118,2.396238088607788,0.00019542693917173892,1.0408434867858887,185,491,49931.3359375,99.86268615722656,99.40911102294922,3.9293694496154785,2.396130323410034,0.00012235403119120747,1.0383940935134888,165,427,49984.8046875,99.9696044921875,99.97039794921875,3.9298348426818848,2.3943824768066406,0.0002515697560738772,1.0615919828414917,105,342,49991.54296875,99.98308563232422,99.99061584472656,3.9283080101013184,2.393726348876953,0.00035916565684601665,1.0452815294265747,168,463,49966.4375,99.9328842163086,12.67824649810791,3.9298722743988037,2.3961660861968994,0.00020937442604918033,1.0344774723052979
6,0,125000,742,2087,248672.8984375,4,157,419,49988.40625,99.97682189941406,99.98265075683594,3.9286491870880127,2.39524507522583,0.00023071764735504985,1.058304786682129,151,448,49975.68359375,99.95137023925781,99.9249038696289,3.928307294845581,2.395463705062866,0.0001697087282082066,1.0490745306015015,162,421,48925.5390625,97.85107421875,7.213288307189941,3.92873215675354,2.392146587371826,0.00038910150760784745,1.0648071765899658,92,404,49965.453125,99.930908203125,2.767723321914673,3.925858974456787,2.390486478805542,0.0005033731576986611,1.0523816347122192,180,395,49817.81640625,99.63560485839844,3.067136287689209,3.928758382797241,2.3950188159942627,0.00021210908016655594,1.0502952337265015
7,0,125000,409,1969,249265.75,4,36,350,49972.0,99.94400024414062,99.9006576538086,3.929230213165283,2.3958752155303955,0.0003113651182502508,1.079529881477356,99,314,49358.1484375,98.71629333496094,9.99604320526123,3.928194284439087,2.395810842514038,0.0001153373668785207,1.0422430038452148,100,445,49994.56640625,99.98912048339844,16.236921310424805,3.9291136264801025,2.3924660682678223,0.00014093637582845986,1.0341726541519165,94,514,49963.22265625,99.92643737792969,76.49456024169922,3.925682783126831,2.390531539916992,0.0002835726772900671,1.0499742031097412,80,346,49977.8125,99.95561981201172,3.24613356590271,3.9286863803863525,2.395115852355957,0.00035008430131711066,1.0571361780166626
8,0,125000,425,1780,249771.5390625,4,119,449,49983.54296875,99.96708679199219,3.954411745071411,3.927942991256714,2.3943169116973877,0.0002978825359605253,1.0705947875976562,122,381,49952.4921875,99.90498352050781,4.9290242195129395,3.9267308712005615,2.394763946533203,0.00016378640430048108,1.0440700054168701,39,297,49960.5234375,99.92105102539062,99.80342864990234,3.9277312755584717,2.3889079093933105,0.0002627992653287947,1.042809247970581,68,310,49961.94140625,99.92388153076172,99.81720733642578,3.9213626384735107,2.3855795860290527,0.00041188954492099583,1.0622189044952393,77,343,49913.0390625,99.82606506347656,10.787508964538574,3.926295280456543,2.3928515911102295,0.0004772138490807265,1.0519402027130127
9,0,125000,591,1853,245632.79296875,4,101,315,46424.5859375,92.84916687011719,0.0010000000474974513,3.92820405960083,2.3945510387420654,0.00012375116057228297,1.0408529043197632,127,363,49974.42578125,99.94886779785156,99.91706848144531,3.926943778991699,2.3950693607330322,0.00026829002308659256,1.0562225580215454,133,336,49790.9453125,99.58187103271484,94.67289733886719,3.92810320854187,2.3898751735687256,0.00014044999261386693,1.0442622900009155,119,471,49533.859375,99.06771850585938,41.08810806274414,3.919086217880249,2.3832218647003174,0.0007899379706941545,1.0973172187805176,111,368,49908.9765625,99.81794738769531,98.96507263183594,3.9257380962371826,2.3922696113586426,0.0001990556629607454,1.0401087999343872
10,0,125000,518,2178,246250.9765625,4,157,408,49177.390625,98.35478210449219,42.90114212036133,3.927605390548706,2.3938817977905273,0.00015500783047173172,1.0552244186401367,42,543,49993.1796875,99.98635864257812,50.37777328491211,3.926525592803955,2.3943116664886475,0.00034936904557980597,1.0592291355133057,168,318,48661.9375,97.32388305664062,10.659982681274414,3.927847146987915,2.389660120010376,0.00026623724261298776,1.057784080505371,45,393,49591.0,99.18199920654297,12.559991836547852,3.9174532890319824,2.3800642490386963,0.0005030250176787376,1.0781574249267578,106,516,48827.46875,97.65494537353516,1.1622251272201538,3.9250035285949707,2.391770839691162,0.00012514114496298134,1.0385857820510864
11,0,125000,340,2093,248381.5703125,4,49,340,49991.26171875,99.98252868652344,99.99002075195312,3.9265825748443604,2.3925883769989014,0.0002003622066695243,1.0418927669525146,41,249,49968.55859375,99.93711853027344,99.87494659423828,3.9256303310394287,2.3924903869628906,0.0003215527394786477,1.0648545026779175,82,577,49854.734375,99.70947265625,4.027939319610596,3.9275529384613037,2.389026641845703,0.000316889287205413,1.0568926334381104,74,475,49503.296875,99.00658416748047,48.58454513549805,3.911747455596924,2.371324062347412,0.0005047464510425925,1.0705509185791016,94,452,49063.71875,98.12743377685547,18.858135223388672,3.9226722717285156,2.3896026611328125,0.00020328997925389558,1.0496574640274048
12,0,125000,838,1918,248523.51953125,4,183,390,49886.46875,99.77290344238281,98.39567565917969,3.925856828689575,2.3910892009735107,0.00047129392623901367,1.0965572595596313,137,364,49856.046875,99.71209716796875,97.43578338623047,3.922335147857666,2.3893330097198486,0.0005393242463469505,1.0803245306015015,155,356,49735.2890625,99.4705810546875,0.02779744379222393,3.9272563457489014,2.3886218070983887,0.00022314548550639302,1.0435569286346436,170,381,49258.16796875,98.51634216308594,50.244956970214844,3.909249782562256,2.3676443099975586,0.0004465556121431291,1.0678126811981201,193,427,49787.546875,99.57508850097656,0.006924840621650219,3.921987771987915,2.389610767364502,0.0003158354666084051,1.0592488050460815
13,0,125000,558,2317,247973.265625,4,67,618,49988.140625,99.97628021240234,6.3028483390808105,3.9254772663116455,2.3899965286254883,0.00018470287614036351,1.0727834701538086,149,447,49910.26953125,99.8205337524414,3.0056002140045166,3.920438051223755,2.3872382640838623,0.0002889299357775599,1.0608025789260864,127,500,49886.2578125,99.77251434326172,3.3772153854370117,3.92763090133667,2.3899900913238525,0.00032147407182492316,1.084991455078125,79,333,48901.0703125,97.80213928222656,22.0883846282959,3.907721996307373,2.365107774734497,0.0006060123560018837,1.0700629949569702,136,419,49287.52734375,98.57505798339844,37.08353042602539,3.922694683074951,2.390486001968384,0.00022654295025859028,1.0524851083755493
14,0,125000,556,1822,241194.5703125,4,108,385,49986.484375,99.97296142578125,99.97648620605469,3.924595355987549,2.3887364864349365,0.00023639439314138144,1.0634934902191162,104,361,46369.95703125,92.73991394042969,0.0010000000474974513,3.9192216396331787,2.3866679668426514,0.00019279003026895225,1.0435070991516113,96,355,49940.1171875,99.88020324707031,99.54950714111328,3.927676200866699,2.390815019607544,0.00017007827409543097,1.052905797958374,129,352,49961.3046875,99.922607421875,99.81110382080078,3.9080281257629395,2.365037679672241,0.00045725106610916555,1.0861197710037231,119,369,44936.70703125,89.87338256835938,0.0010000000474974513,3.9230411052703857,2.3906729221343994,0.0002773618616629392,1.0581881999969482
15,0,125000,521,1843,248354.1953125,4,116,318,49903.54296875,99.80709838867188,98.8390884399414,3.924053192138672,2.3882107734680176,0.00010665416630217806,1.0293326377868652,111,337,49854.09765625,99.70819091796875,97.3668441772461,3.918646812438965,2.3859589099884033,0.0003511023533064872,1.05971360206604,103,424,49820.59375,99.64118957519531,0.03438067436218262,3.927553653717041,2.391486406326294,0.00023510694154538214,1.0554553270339966,79,303,48813.25,97.62651824951172,17.186460494995117,3.908409595489502,2.3652424812316895,0.00047290086513385177,1.069582462310791,112,461,49962.7109375,99.92538452148438,99.82425689697266,3.92352032661438,2.3905792236328125,0.00019890069961547852,1.048087477684021
16,0,125000,413,1678,247451.18359375,4,58,279,47892.3984375,95.78480529785156,0.18055680394172668,3.923844575881958,2.3883273601531982,0.0003077983856201172,1.0616623163223267,82,285,49848.48046875,99.69691467285156,97.1627426147461,3.9184508323669434,2.3853538036346436,0.0003680849040392786,1.0823379755020142,72,331,49964.3046875,99.92864990234375,99.83919525146484,3.9278905391693115,2.3925557136535645,5.308151230565272e-05,1.0250091552734375,88,326,49900.109375,99.80020904541016,98.75543975830078,3.907365560531616,2.363948106765747,0.00032160518458113074,1.0522191524505615,113,457,49845.890625,99.69178771972656,97.06752014160156,3.923851490020752,2.3905224800109863,0.00034877777216024697,1.0911270380020142
17,0,125000,817,2261,231932.984375,4,101,484,45092.21875,90.18443298339844,0.0010000000474974513,3.9212095737457275,2.384488105773926,0.0002327918919036165,1.0511229038238525,174,452,49943.984375,99.88796997070312,99.6058349609375,3.9145092964172363,2.380772590637207,0.00042557239066809416,1.061814785003662,186,416,47138.59375,94.27719116210938,0.0035857465118169785,3.926920175552368,2.3917253017425537,0.0001393270504195243,1.039630651473999,178,508,47333.5390625,94.66704559326172,0.013790282420814037,3.900332450866699,2.355466365814209,0.00040313959470950067,1.0910905599594116,178,401,42424.6484375,84.84929656982422,0.0010000000474974513,3.921220541000366,2.386847972869873,0.00033901690039783716,1.0539652109146118
