policy,policy_key,clicks_mean,cost_mean,cpc,cpc_ratio_vs_lin,pacing_pct,efficiency_clicks_per_1k_units,roi_ratio_vs_lin,roi_gain_pct_vs_lin,win_rate_pct
Rand,rand_baseline,284.14,249991.06662391187,879.8165222211301,2.0721003716220707,99.99642664956475,1.1366006147230132,0.48260210446137086,-51.73978955386291,
Const,const_baseline,577.3,249621.04790649415,432.3939856339757,1.018352935743256,99.84841916259765,2.3127056185432386,0.9819778240931168,-1.8022175906883153,
Lin (pCTR),pctr_baseline,588.6,249920.32821941376,424.60130516380184,1.0,99.9681312877655,2.3551505561534296,1.0,0.0,
AC,src5_ac,958.2400000000001,248118.847578125,258.931841269541,0.609823469971791,99.24753903125,3.862020194569378,1.639818815183118,63.98188151831179,
MAPPO,src6_mappo,938.14,248041.47875,264.39708225851155,0.6226949353264776,99.2165915,3.7821899979299327,1.6059228094985265,60.59228094985265,
