episode,return,clicks,cost,budget_left,lambda
1,-1.887,2,299.0,1.0,0.0129
2,-0.8999999999999997,3,300.0,0.0,0.013
3,2.1390000000000002,6,297.0,3.0,0.0127
4,2.1390000000000002,6,297.0,3.0,0.0127
5,6.1,10,300.0,0.0,0.013
6,8.100000000000001,12,300.0,0.0,0.013
7,5.139000000000001,9,297.0,3.0,0.0127
8,8.1,12,300.0,0.0,0.013
9,6.126000000000001,10,298.0,2.0,0.012799999999999999
10,4.113,8,299.0,1.0,0.0129
11,9.113000000000001,13,299.0,1.0,0.0129
12,7.1000000000000005,11,300.0,0.0,0.013
13,9.139000000000001,13,297.0,3.0,0.0127
14,8.1,12,300.0,0.0,0.013
15,11.100000000000001,15,300.0,0.0,0.013
16,7.1129999999999995,11,299.0,1.0,0.0129
17,10.100000000000003,14,300.0,0.0,0.013
18,3.113,7,299.0,1.0,0.0129
19,3.0999999999999996,7,300.0,0.0,0.013
20,8.139000000000001,12,297.0,3.0,0.0127
21,3.1130000000000004,7,299.0,1.0,0.0129
22,-0.8869999999999998,3,299.0,1.0,0.0129
23,6.139000000000001,10,297.0,3.0,0.0127
24,6.138999999999999,10,297.0,3.0,0.0127
25,7.100000000000001,11,300.0,0.0,0.013
26,7.100000000000001,11,300.0,0.0,0.013
27,9.126000000000001,13,298.0,2.0,0.012799999999999999
28,3.1260000000000003,7,298.0,2.0,0.012799999999999999
29,6.100000000000001,10,300.0,0.0,0.013
30,9.100000000000001,13,300.0,0.0,0.013
31,7.1,11,300.0,0.0,0.013
32,7.1259999999999994,11,298.0,2.0,0.012799999999999999
33,8.100000000000001,12,300.0,0.0,0.013
34,11.100000000000001,15,300.0,0.0,0.013
35,9.1,13,300.0,0.0,0.013
36,10.100000000000001,14,300.0,0.0,0.013
37,8.100000000000001,12,300.0,0.0,0.013
38,9.100000000000001,13,300.0,0.0,0.013
39,3.113000000000001,7,299.0,1.0,0.0129
40,7.125999999999999,11,298.0,2.0,0.012799999999999999
41,12.100000000000003,16,300.0,0.0,0.013
42,10.100000000000001,14,300.0,0.0,0.013
43,10.100000000000003,14,300.0,0.0,0.013
44,6.1,10,300.0,0.0,0.013
45,2.126000000000001,6,298.0,2.0,0.012799999999999999
46,10.100000000000001,14,300.0,0.0,0.013
47,6.126,10,298.0,2.0,0.012799999999999999
48,6.100000000000001,10,300.0,0.0,0.013
49,6.100000000000001,10,300.0,0.0,0.013
50,5.100000000000001,9,300.0,0.0,0.013
