episode,return,clicks,cost,budget_left
1,1.1390000000000002,5,297.0,3.0
2,2.1130000000000004,6,299.0,1.0
3,-0.874,3,298.0,2.0
4,2.113,6,299.0,1.0
5,2.1130000000000004,6,299.0,1.0
6,-0.8609999999999999,3,297.0,3.0
7,-0.8999999999999997,3,300.0,0.0
8,-2.887,1,299.0,1.0
9,1.1130000000000002,5,299.0,1.0
10,-1.9,2,300.0,0.0
11,-0.8739999999999998,3,298.0,2.0
12,-1.9,2,300.0,0.0
13,2.1260000000000003,6,298.0,2.0
14,0.13900000000000023,4,297.0,3.0
15,0.1000000000000002,4,300.0,0.0
16,-1.9,2,300.0,0.0
17,-1.887,2,299.0,1.0
18,0.13900000000000007,4,297.0,3.0
19,1.1,5,300.0,0.0
20,3.1260000000000003,7,298.0,2.0
21,-0.887,3,299.0,1.0
22,0.11300000000000032,4,299.0,1.0
23,-1.8610000000000002,2,297.0,3.0
24,2.1130000000000004,6,299.0,1.0
25,0.1390000000000003,4,297.0,3.0
26,0.11300000000000021,4,299.0,1.0
27,-0.8609999999999999,3,297.0,3.0
28,-1.887,2,299.0,1.0
29,-0.887,3,299.0,1.0
30,0.11300000000000024,4,299.0,1.0
31,2.1,6,300.0,0.0
32,0.09999999999999998,4,300.0,0.0
33,-1.8739999999999999,2,298.0,2.0
34,-0.8869999999999998,3,299.0,1.0
35,-1.9000000000000001,2,300.0,0.0
36,-0.8869999999999998,3,299.0,1.0
37,-0.8609999999999998,3,297.0,3.0
38,0.1000000000000002,4,300.0,0.0
39,-0.8869999999999998,3,299.0,1.0
40,-1.8869999999999998,2,299.0,1.0
41,1.1130000000000002,5,299.0,1.0
42,-1.8609999999999995,2,297.0,3.0
43,-0.8999999999999999,3,300.0,0.0
44,0.1000000000000002,4,300.0,0.0
45,1.1,5,300.0,0.0
46,0.10000000000000003,4,300.0,0.0
47,-0.8999999999999997,3,300.0,0.0
48,-0.8609999999999998,3,297.0,3.0
49,3.1130000000000004,7,299.0,1.0
50,0.1130000000000001,4,299.0,1.0
