episode,return,clicks,cost,budget_left,lambda
1,1.1390000000000002,5,297.0,3.0,0.0127
2,-0.887,3,299.0,1.0,0.0129
3,-1.9,2,300.0,0.0,0.013
4,1.1390000000000002,5,297.0,3.0,0.0127
5,1.1390000000000002,5,297.0,3.0,0.0127
6,0.1130000000000001,4,299.0,1.0,0.0129
7,-0.8609999999999998,3,297.0,3.0,0.0127
8,0.13900000000000018,4,297.0,3.0,0.0127
9,0.13900000000000023,4,297.0,3.0,0.0127
10,-1.8609999999999998,2,297.0,3.0,0.0127
11,1.1390000000000002,5,297.0,3.0,0.0127
12,0.13900000000000023,4,297.0,3.0,0.0127
13,1.1390000000000002,5,297.0,3.0,0.0127
14,0.13900000000000023,4,297.0,3.0,0.0127
15,-1.8609999999999998,2,297.0,3.0,0.0127
16,-1.8609999999999998,2,297.0,3.0,0.0127
17,-1.8609999999999998,2,297.0,3.0,0.0127
18,-1.8609999999999998,2,297.0,3.0,0.0127
19,0.10000000000000003,4,300.0,0.0,0.013
20,0.1130000000000001,4,299.0,1.0,0.0129
21,-0.887,3,299.0,1.0,0.0129
22,-1.887,2,299.0,1.0,0.0129
23,-0.887,3,299.0,1.0,0.0129
24,-2.887,1,299.0,1.0,0.0129
25,-0.8869999999999998,3,299.0,1.0,0.0129
26,0.1130000000000001,4,299.0,1.0,0.0129
27,0.1130000000000001,4,299.0,1.0,0.0129
28,-0.8869999999999998,3,299.0,1.0,0.0129
29,-0.8869999999999998,3,299.0,1.0,0.0129
30,-0.887,3,299.0,1.0,0.0129
31,-0.887,3,299.0,1.0,0.0129
32,-2.887,1,299.0,1.0,0.0129
33,-1.887,2,299.0,1.0,0.0129
34,-1.8869999999999998,2,299.0,1.0,0.0129
35,-0.887,3,299.0,1.0,0.0129
36,0.1130000000000001,4,299.0,1.0,0.0129
37,-2.887,1,299.0,1.0,0.0129
38,0.1130000000000001,4,299.0,1.0,0.0129
39,-2.887,1,299.0,1.0,0.0129
40,0.10000000000000009,4,300.0,0.0,0.013
41,-0.8869999999999998,3,299.0,1.0,0.0129
42,-1.8609999999999998,2,297.0,3.0,0.0127
43,0.1130000000000001,4,299.0,1.0,0.0129
44,-2.887,1,299.0,1.0,0.0129
45,-0.8999999999999999,3,300.0,0.0,0.013
46,-0.8869999999999998,3,299.0,1.0,0.0129
47,0.1130000000000001,4,299.0,1.0,0.0129
48,2.1260000000000003,6,298.0,2.0,0.012799999999999999
49,-2.8609999999999998,1,297.0,3.0,0.0127
50,-0.8869999999999999,3,299.0,1.0,0.0129
