episode,return,clicks,cost,budget_left,lambda
1,-0.8869999999999998,3,299.0,1.0,0.0129
2,-1.9,2,300.0,0.0,0.013
3,0.12600000000000022,4,298.0,2.0,0.012799999999999999
4,-0.8869999999999998,3,299.0,1.0,0.0129
5,-0.8869999999999998,3,299.0,1.0,0.0129
6,-0.8869999999999998,3,299.0,1.0,0.0129
7,-0.887,3,299.0,1.0,0.0129
8,-0.887,3,299.0,1.0,0.0129
9,-0.8869999999999998,3,299.0,1.0,0.0129
10,-0.887,3,299.0,1.0,0.0129
11,-0.8869999999999998,3,299.0,1.0,0.0129
12,2.1130000000000004,6,299.0,1.0,0.0129
13,-0.8869999999999998,3,299.0,1.0,0.0129
14,-0.8869999999999998,3,299.0,1.0,0.0129
15,2.1390000000000002,6,297.0,3.0,0.0127
16,-0.8869999999999998,3,299.0,1.0,0.0129
17,2.1130000000000004,6,299.0,1.0,0.0129
18,-0.8869999999999998,3,299.0,1.0,0.0129
19,0.11300000000000021,4,299.0,1.0,0.0129
20,0.11300000000000021,4,299.0,1.0,0.0129
21,-1.8869999999999998,2,299.0,1.0,0.0129
22,0.13900000000000023,4,297.0,3.0,0.0127
23,0.11300000000000021,4,299.0,1.0,0.0129
24,-2.887,1,299.0,1.0,0.0129
25,-0.8869999999999998,3,299.0,1.0,0.0129
26,2.126,6,298.0,2.0,0.012799999999999999
27,-0.874,3,298.0,2.0,0.012799999999999999
28,1.1130000000000002,5,299.0,1.0,0.0129
29,1.1260000000000003,5,298.0,2.0,0.012799999999999999
30,-0.8609999999999999,3,297.0,3.0,0.0127
31,1.1130000000000002,5,299.0,1.0,0.0129
32,2.1260000000000003,6,298.0,2.0,0.012799999999999999
33,-2.8609999999999998,1,297.0,3.0,0.0127
34,-0.8869999999999998,3,299.0,1.0,0.0129
35,-2.8609999999999998,1,297.0,3.0,0.0127
36,1.1390000000000002,5,297.0,3.0,0.0127
37,0.13900000000000023,4,297.0,3.0,0.0127
38,0.13900000000000023,4,297.0,3.0,0.0127
39,-1.8609999999999998,2,297.0,3.0,0.0127
40,0.13900000000000023,4,297.0,3.0,0.0127
41,0.13900000000000023,4,297.0,3.0,0.0127
42,-0.8609999999999998,3,297.0,3.0,0.0127
43,-2.8609999999999998,1,297.0,3.0,0.0127
44,-1.8609999999999998,2,297.0,3.0,0.0127
45,1.1390000000000002,5,297.0,3.0,0.0127
46,-1.8609999999999998,2,297.0,3.0,0.0127
47,0.13900000000000023,4,297.0,3.0,0.0127
48,0.13900000000000023,4,297.0,3.0,0.0127
49,0.139,4,297.0,3.0,0.0127
50,0.13900000000000023,4,297.0,3.0,0.0127
