episode,return,clicks,cost,budget_left
1,-0.8869999999999998,3,299.0,1.0
2,0.10000000000000003,4,300.0,0.0
3,2.1000000000000005,6,300.0,0.0
4,1.1,5,300.0,0.0
5,-1.8999999999999995,2,300.0,0.0
6,-1.9,2,300.0,0.0
7,1.1260000000000003,5,298.0,2.0
8,0.11300000000000021,4,299.0,1.0
9,-0.8999999999999999,3,300.0,0.0
10,1.1,5,300.0,0.0
11,0.11300000000000032,4,299.0,1.0
12,0.11300000000000016,4,299.0,1.0
13,-0.8869999999999998,3,299.0,1.0
14,1.1260000000000003,5,298.0,2.0
15,-0.8999999999999997,3,300.0,0.0
16,-0.8869999999999998,3,299.0,1.0
17,-1.887,2,299.0,1.0
18,1.1,5,300.0,0.0
19,1.1260000000000001,5,298.0,2.0
20,-0.9000000000000001,3,300.0,0.0
21,-0.8999999999999998,3,300.0,0.0
22,0.10000000000000014,4,300.0,0.0
23,0.10000000000000014,4,300.0,0.0
24,-1.887,2,299.0,1.0
25,0.12600000000000028,4,298.0,2.0
26,0.11300000000000027,4,299.0,1.0
27,-1.9,2,300.0,0.0
28,-0.8739999999999999,3,298.0,2.0
29,0.11300000000000021,4,299.0,1.0
30,-1.8999999999999997,2,300.0,0.0
31,-0.874,3,298.0,2.0
32,0.12600000000000022,4,298.0,2.0
33,-2.8999999999999995,1,300.0,0.0
34,0.09999999999999998,4,300.0,0.0
35,-1.9,2,300.0,0.0
36,-0.8869999999999998,3,299.0,1.0
37,-0.8739999999999997,3,298.0,2.0
38,-1.8999999999999997,2,300.0,0.0
39,1.1260000000000001,5,298.0,2.0
40,0.1000000000000002,4,300.0,0.0
41,-0.8609999999999995,3,297.0,3.0
42,1.1260000000000003,5,298.0,2.0
43,-0.8999999999999999,3,300.0,0.0
44,1.113,5,299.0,1.0
45,1.1,5,300.0,0.0
46,0.11300000000000021,4,299.0,1.0
47,1.1130000000000004,5,299.0,1.0
48,-1.8999999999999997,2,300.0,0.0
49,-1.8999999999999997,2,300.0,0.0
50,-0.8999999999999994,3,300.0,0.0
