episode,return,clicks,cost,budget_left,lambda
1,132.0,152,10000.0,0.0,0.002
2,122.99999999999994,143,10000.0,0.0,0.002
3,124.99999999999996,145,10000.0,0.0,0.002
4,121.99999999999997,142,10000.0,0.0,0.002
5,120.99999999999996,141,10000.0,0.0,0.002
6,127.99999999999996,148,10000.0,0.0,0.002
7,122.99999999999996,143,10000.0,0.0,0.002
8,122.99999999999997,143,10000.0,0.0,0.002
9,134.99999999999997,155,10000.0,0.0,0.002
10,117.99999999999994,138,10000.0,0.0,0.002
11,116.99999999999997,137,10000.0,0.0,0.002
12,124.99999999999994,145,10000.0,0.0,0.002
13,117.99999999999996,138,10000.0,0.0,0.002
14,126.99999999999996,147,10000.0,0.0,0.002
15,114.99999999999994,135,10000.0,0.0,0.002
16,114.99999999999996,135,10000.0,0.0,0.002
17,129.99999999999997,150,10000.0,0.0,0.002
18,128.99999999999997,149,10000.0,0.0,0.002
19,132.0,152,10000.0,0.0,0.002
20,133.99999999999997,154,10000.0,0.0,0.002
21,124.99999999999997,145,10000.0,0.0,0.002
22,124.99999999999993,145,10000.0,0.0,0.002
23,121.99999999999996,142,10000.0,0.0,0.002
24,126.99999999999994,147,10000.0,0.0,0.002
25,119.99999999999997,140,10000.0,0.0,0.002
26,129.99999999999997,150,10000.0,0.0,0.002
27,123.99999999999994,144,10000.0,0.0,0.002
28,125.99999999999993,146,10000.0,0.0,0.002
29,118.99999999999994,139,10000.0,0.0,0.002
30,111.99999999999997,132,10000.0,0.0,0.002
