episode,return,clicks,cost,budget_left
1,-0.8869999999999998,3,299.0,1.0
2,-0.8869999999999999,3,299.0,1.0
3,-1.9,2,300.0,0.0
4,-0.8869999999999999,3,299.0,1.0
5,0.11300000000000004,4,299.0,1.0
6,-1.9,2,300.0,0.0
7,0.10000000000000009,4,300.0,0.0
8,-0.8869999999999998,3,299.0,1.0
9,2.1130000000000004,6,299.0,1.0
10,1.1000000000000005,5,300.0,0.0
11,0.126,4,298.0,2.0
12,2.1130000000000004,6,299.0,1.0
13,-0.874,3,298.0,2.0
14,1.1260000000000003,5,298.0,2.0
15,-0.8609999999999999,3,297.0,3.0
16,-0.8869999999999999,3,299.0,1.0
17,-0.8609999999999999,3,297.0,3.0
18,-0.8999999999999999,3,300.0,0.0
19,1.1,5,300.0,0.0
20,0.10000000000000009,4,300.0,0.0
21,-1.9,2,300.0,0.0
22,0.1000000000000002,4,300.0,0.0
23,-1.8999999999999997,2,300.0,0.0
24,-1.874,2,298.0,2.0
25,1.1390000000000002,5,297.0,3.0
26,-0.8869999999999998,3,299.0,1.0
27,0.1390000000000003,4,297.0,3.0
28,-0.8609999999999998,3,297.0,3.0
29,0.11300000000000021,4,299.0,1.0
30,1.113,5,299.0,1.0
31,1.1260000000000003,5,298.0,2.0
32,0.1390000000000003,4,297.0,3.0
33,-1.9,2,300.0,0.0
34,-0.8609999999999999,3,297.0,3.0
35,2.126,6,298.0,2.0
36,0.1130000000000001,4,299.0,1.0
37,0.1260000000000002,4,298.0,2.0
38,-2.8869999999999996,1,299.0,1.0
39,0.12600000000000014,4,298.0,2.0
40,0.11300000000000018,4,299.0,1.0
41,-1.8999999999999997,2,300.0,0.0
42,1.1390000000000002,5,297.0,3.0
43,1.1000000000000003,5,300.0,0.0
44,0.12600000000000044,4,298.0,2.0
45,0.126,4,298.0,2.0
46,-0.8999999999999998,3,300.0,0.0
47,2.113,6,299.0,1.0
48,-0.8739999999999998,3,298.0,2.0
49,0.126,4,298.0,2.0
50,0.12600000000000006,4,298.0,2.0
