episode,return,clicks,cost,budget_left,lambda
1,164.0019999999998,184,9999.0,1.0,0.0019
2,105.0,125,10000.0,0.0,0.002
3,112.00199999999995,132,9999.0,1.0,0.0019
4,91.00399999999995,111,9998.0,2.0,0.0018
5,88.99999999999994,109,10000.0,0.0,0.002
6,101.00199999999997,121,9999.0,1.0,0.0019
7,110.00199999999988,130,9999.0,1.0,0.0019
8,104.00599999999996,124,9997.0,3.0,0.0017000000000000001
9,110.00399999999996,130,9998.0,2.0,0.0018
10,104.00199999999995,124,9999.0,1.0,0.0019
11,97.99999999999997,118,10000.0,0.0,0.002
12,96.99999999999996,117,10000.0,0.0,0.002
13,107.00199999999987,127,9999.0,1.0,0.0019
14,97.00199999999997,117,9999.0,1.0,0.0019
15,101.002,121,9999.0,1.0,0.0019
16,100.99999999999997,121,10000.0,0.0,0.002
17,97.00399999999993,117,9998.0,2.0,0.0018
18,90.00399999999999,110,9998.0,2.0,0.0018
19,112.00599999999999,132,9997.0,3.0,0.0017000000000000001
20,97.99999999999996,118,10000.0,0.0,0.002
21,95.99999999999997,116,10000.0,0.0,0.002
22,104.99999999999994,125,10000.0,0.0,0.002
23,95.99999999999994,116,10000.0,0.0,0.002
24,102.00199999999991,122,9999.0,1.0,0.0019
25,91.99999999999999,112,10000.0,0.0,0.002
26,103.99999999999994,124,10000.0,0.0,0.002
27,100.00599999999993,120,9997.0,3.0,0.0017000000000000001
28,98.99999999999996,119,10000.0,0.0,0.002
29,103.00399999999996,123,9998.0,2.0,0.0018
30,106.99999999999994,127,10000.0,0.0,0.002
