episode,return,clicks,cost,budget_left,lambda
1,-0.8869999999999998,3,299.0,1.0,0.0129
2,0.1130000000000001,4,299.0,1.0,0.0129
3,-0.887,3,299.0,1.0,0.0129
4,-1.8869999999999998,2,299.0,1.0,0.0129
5,0.1130000000000001,4,299.0,1.0,0.0129
6,-2.887,1,299.0,1.0,0.0129
7,-1.887,2,299.0,1.0,0.0129
8,-1.8869999999999998,2,299.0,1.0,0.0129
9,-0.8869999999999998,3,299.0,1.0,0.0129
10,-1.8869999999999998,2,299.0,1.0,0.0129
11,-2.887,1,299.0,1.0,0.0129
12,-0.887,3,299.0,1.0,0.0129
13,-0.887,3,299.0,1.0,0.0129
14,0.1130000000000001,4,299.0,1.0,0.0129
15,-0.887,3,299.0,1.0,0.0129
16,0.1130000000000001,4,299.0,1.0,0.0129
17,-0.887,3,299.0,1.0,0.0129
18,-1.887,2,299.0,1.0,0.0129
19,-0.8869999999999998,3,299.0,1.0,0.0129
20,-2.887,1,299.0,1.0,0.0129
21,-1.887,2,299.0,1.0,0.0129
22,-1.8869999999999998,2,299.0,1.0,0.0129
23,-0.887,3,299.0,1.0,0.0129
24,0.1130000000000001,4,299.0,1.0,0.0129
25,0.10000000000000009,4,300.0,0.0,0.013
26,-0.8999999999999999,3,300.0,0.0,0.013
27,2.113000000000001,6,299.0,1.0,0.0129
28,4.138999999999999,8,297.0,3.0,0.0127
29,7.1,11,300.0,0.0,0.013
30,8.113000000000001,12,299.0,1.0,0.0129
31,5.1,9,300.0,0.0,0.013
32,8.1,12,300.0,0.0,0.013
33,10.100000000000001,14,300.0,0.0,0.013
34,6.100000000000001,10,300.0,0.0,0.013
35,5.1,9,300.0,0.0,0.013
36,10.100000000000001,14,300.0,0.0,0.013
37,11.100000000000001,15,300.0,0.0,0.013
38,5.113000000000001,9,299.0,1.0,0.0129
39,9.100000000000001,13,300.0,0.0,0.013
40,7.100000000000001,11,300.0,0.0,0.013
41,8.100000000000001,12,300.0,0.0,0.013
42,9.100000000000001,13,300.0,0.0,0.013
43,6.100000000000001,10,300.0,0.0,0.013
44,8.100000000000001,12,300.0,0.0,0.013
45,7.1,11,300.0,0.0,0.013
46,7.100000000000001,11,300.0,0.0,0.013
47,8.100000000000001,12,300.0,0.0,0.013
48,10.100000000000001,14,300.0,0.0,0.013
49,9.100000000000001,13,300.0,0.0,0.013
50,6.100000000000001,10,300.0,0.0,0.013
