episode,return,clicks,cost,budget_left
1,-1.9,2,300.0,0.0
2,-0.8609999999999999,3,297.0,3.0
3,0.12599999999999995,4,298.0,2.0
4,-0.8999999999999997,3,300.0,0.0
5,0.13900000000000023,4,297.0,3.0
6,0.10000000000000009,4,300.0,0.0
7,0.12600000000000022,4,298.0,2.0
8,-0.8609999999999995,3,297.0,3.0
9,-0.874,3,298.0,2.0
10,-0.8869999999999998,3,299.0,1.0
11,1.1130000000000004,5,299.0,1.0
12,-0.8999999999999997,3,300.0,0.0
13,0.13900000000000012,4,297.0,3.0
14,-1.8869999999999998,2,299.0,1.0
15,1.1390000000000002,5,297.0,3.0
16,0.13900000000000012,4,297.0,3.0
17,0.11300000000000021,4,299.0,1.0
18,-1.9,2,300.0,0.0
19,-2.887,1,299.0,1.0
20,2.126,6,298.0,2.0
21,1.1000000000000003,5,300.0,0.0
22,1.1260000000000003,5,298.0,2.0
23,-1.8739999999999997,2,298.0,2.0
24,-2.874,1,298.0,2.0
25,-0.8999999999999998,3,300.0,0.0
26,-1.9,2,300.0,0.0
27,-0.8999999999999999,3,300.0,0.0
28,1.1000000000000003,5,300.0,0.0
29,-0.8869999999999998,3,299.0,1.0
30,-0.874,3,298.0,2.0
31,-0.8999999999999997,3,300.0,0.0
32,0.12600000000000022,4,298.0,2.0
33,1.1,5,300.0,0.0
34,-2.887,1,299.0,1.0
35,1.1000000000000005,5,300.0,0.0
36,0.11300000000000021,4,299.0,1.0
37,1.1000000000000003,5,300.0,0.0
38,2.1390000000000002,6,297.0,3.0
39,2.1,6,300.0,0.0
40,1.1,5,300.0,0.0
41,-0.8999999999999995,3,300.0,0.0
42,-0.8999999999999997,3,300.0,0.0
43,0.12600000000000022,4,298.0,2.0
44,1.1130000000000002,5,299.0,1.0
45,1.1130000000000002,5,299.0,1.0
46,1.1000000000000003,5,300.0,0.0
47,-0.8869999999999999,3,299.0,1.0
48,-0.8999999999999999,3,300.0,0.0
49,-0.8609999999999999,3,297.0,3.0
50,1.1000000000000003,5,300.0,0.0
