episode,return,clicks,cost,budget_left,lambda
1,174.00399999999996,194,9998.0,2.0,0.0018
2,112.00199999999997,132,9999.0,1.0,0.0019
3,87.00399999999993,107,9998.0,2.0,0.0018
4,109.99999999999999,130,10000.0,0.0,0.002
5,90.99999999999997,111,10000.0,0.0,0.002
6,90.00199999999998,110,9999.0,1.0,0.0019
7,103.99999999999996,124,10000.0,0.0,0.002
8,94.00199999999997,114,9999.0,1.0,0.0019
9,97.00599999999999,117,9997.0,3.0,0.0017000000000000001
10,106.99999999999996,127,10000.0,0.0,0.002
11,94.00199999999992,114,9999.0,1.0,0.0019
12,105.99999999999996,126,10000.0,0.0,0.002
13,101.00199999999992,121,9999.0,1.0,0.0019
14,102.00199999999992,122,9999.0,1.0,0.0019
15,98.99999999999999,119,10000.0,0.0,0.002
16,94.00199999999995,114,9999.0,1.0,0.0019
17,97.00399999999998,117,9998.0,2.0,0.0018
18,101.00199999999997,121,9999.0,1.0,0.0019
19,82.0,102,10000.0,0.0,0.002
20,95.0,115,10000.0,0.0,0.002
21,96.99999999999999,117,10000.0,0.0,0.002
22,107.99999999999993,128,10000.0,0.0,0.002
23,92.99999999999994,113,10000.0,0.0,0.002
24,107.00199999999998,127,9999.0,1.0,0.0019
25,96.00399999999998,116,9998.0,2.0,0.0018
26,94.004,114,9998.0,2.0,0.0018
27,91.00199999999998,111,9999.0,1.0,0.0019
28,97.00199999999995,117,9999.0,1.0,0.0019
29,97.99999999999994,118,10000.0,0.0,0.002
30,96.002,116,9999.0,1.0,0.0019
