episode,return,clicks,cost,budget_left,lambda
1,93.00599999999996,113,9997.0,3.0,0.0017000000000000001
2,95.00599999999997,115,9997.0,3.0,0.0017000000000000001
3,84.99999999999999,105,10000.0,0.0,0.002
4,92.00399999999999,112,9998.0,2.0,0.0018
5,126.00399999999998,146,9998.0,2.0,0.0018
6,124.99999999999999,145,10000.0,0.0,0.002
7,120.99999999999994,141,10000.0,0.0,0.002
8,110.99999999999997,131,10000.0,0.0,0.002
9,115.99999999999994,136,10000.0,0.0,0.002
10,127.99999999999996,148,10000.0,0.0,0.002
11,108.99999999999999,129,10000.0,0.0,0.002
12,123.99999999999997,144,10000.0,0.0,0.002
13,111.99999999999997,132,10000.0,0.0,0.002
14,119.99999999999994,140,10000.0,0.0,0.002
15,125.99999999999996,146,10000.0,0.0,0.002
16,120.99999999999999,141,10000.0,0.0,0.002
17,131.0,151,10000.0,0.0,0.002
18,133.0,153,10000.0,0.0,0.002
19,124.99999999999997,145,10000.0,0.0,0.002
20,119.99999999999997,140,10000.0,0.0,0.002
21,127.99999999999996,148,10000.0,0.0,0.002
22,133.99999999999994,154,10000.0,0.0,0.002
23,122.99999999999996,143,10000.0,0.0,0.002
24,117.99999999999996,138,10000.0,0.0,0.002
25,125.99999999999997,146,10000.0,0.0,0.002
26,117.99999999999997,138,10000.0,0.0,0.002
27,122.99999999999996,143,10000.0,0.0,0.002
28,127.99999999999996,148,10000.0,0.0,0.002
29,125.99999999999993,146,10000.0,0.0,0.002
30,130.99999999999997,151,10000.0,0.0,0.002
