episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
1,2,125000,600,6784,249885.34765625,117,1317,49992.0703125,99.98412322998047,99.9917221069336,3.929253101348877,2.3953983783721924,154,1438,49999.29296875,99.99856567382812,3.388563394546509,3.9237680435180664,2.392202377319336,94,1392,49974.66015625,99.9493179321289,2.2739980220794678,3.927840232849121,2.390717029571533,100,1084,49996.74609375,99.99347686767578,99.99850463867188,3.9244625568389893,2.3906779289245605,135,1553,49922.578125,99.84516143798828,99.24974822998047,3.923541307449341,2.386016607284546
2,2,125000,734,7667,249038.7890625,59,717,49986.8203125,99.97361755371094,2.0167574882507324,3.9284634590148926,2.393907070159912,176,1804,49996.39453125,99.99278259277344,99.9981918334961,3.920523166656494,2.391589641571045,207,2092,49981.51953125,99.96305084228516,3.0343666076660156,3.9268059730529785,2.3885068893432617,176,1993,49778.2265625,99.55645751953125,7.0794219970703125,3.9239110946655273,2.3913521766662598,116,1061,49295.828125,98.59158325195312,3.371696949005127,3.917381763458252,2.376828193664551
3,2,125000,931,8823,249716.546875,203,1709,49979.25,99.9585189819336,1.4419982433319092,3.9286060333251953,2.3923373222351074,152,1406,49988.71875,99.97747802734375,99.98357391357422,3.9201090335845947,2.391468048095703,183,1853,49754.38671875,99.50872802734375,92.72356414794922,3.9269087314605713,2.3859519958496094,193,1880,49994.328125,99.98869323730469,7.284085273742676,3.9228641986846924,2.391932964324951,200,1975,49999.86328125,99.99974060058594,18.92392921447754,3.917461395263672,2.3775980472564697
4,2,125000,823,7778,248678.08203125,155,1567,49993.56640625,99.98710632324219,7.86470365524292,3.9275569915771484,2.3902182579040527,111,902,49289.08984375,98.57817077636719,53.147010803222656,3.9178860187530518,2.3910961151123047,185,1816,49431.9453125,98.86390686035156,27.44261932373047,3.925506830215454,2.382615566253662,176,1607,49980.52734375,99.96097564697266,35.25779342651367,3.9207706451416016,2.391631603240967,196,1886,49982.953125,99.96589660644531,1.8393908739089966,3.9130640029907227,2.3686068058013916
5,2,125000,1046,9203,247529.4375,213,1751,48539.5625,97.07906341552734,6.946410655975342,3.9273557662963867,2.388937473297119,220,1990,49136.64453125,98.27320861816406,22.98093032836914,3.9181642532348633,2.3910980224609375,225,2371,49995.0,99.9900131225586,2.2313764095306396,3.925588607788086,2.38088321685791,164,1403,49991.33984375,99.98265838623047,99.99016571044922,3.9208366870880127,2.391403913497925,224,1688,49866.890625,99.73371887207031,97.80194091796875,3.916041851043701,2.373297691345215
6,2,125000,1082,9508,246865.27734375,221,1842,49967.48828125,99.93498229980469,5.53550910949707,3.92695689201355,2.388540029525757,219,2071,48189.34765625,96.3786849975586,1.6589323282241821,3.916377067565918,2.391842842102051,212,1703,49960.6796875,99.92129516601562,48.095497131347656,3.9246857166290283,2.380629062652588,182,1701,49998.88671875,99.9978256225586,8.716678619384766,3.919846773147583,2.3906188011169434,248,2191,48748.875,97.49776458740234,2.779405355453491,3.9148499965667725,2.37386417388916
7,2,125000,589,5842,248285.84765625,166,1380,49999.20703125,99.99840545654297,99.9998779296875,3.9267446994781494,2.3878684043884277,105,1161,49417.96875,98.83590698242188,65.45734405517578,3.915590286254883,2.392280340194702,127,1095,48879.78515625,97.75959014892578,20.822538375854492,3.924159049987793,2.3803086280822754,93,1118,49991.9296875,99.98385620117188,99.9914321899414,3.918720245361328,2.389174222946167,98,1088,49996.95703125,99.99391174316406,99.99870300292969,3.9131996631622314,2.374660015106201
8,2,125000,805,9097,248777.46875,165,1827,49939.55078125,99.87911224365234,99.54133605957031,3.924736261367798,2.383784532546997,141,1533,49983.38671875,99.96681213378906,99.96479034423828,3.9137539863586426,2.390981912612915,128,1230,49996.203125,99.9924087524414,99.99801635742188,3.9225096702575684,2.377265214920044,179,1959,49725.48046875,99.45096588134766,6.966585159301758,3.9150211811065674,2.3848748207092285,192,2548,49132.84765625,98.26560974121094,18.276044845581055,3.9067471027374268,2.366997241973877
9,2,125000,711,8240,247494.4609375,166,1766,48944.56640625,97.88909149169922,7.344455718994141,3.926300048828125,2.385660171508789,170,1894,49993.203125,99.9864730834961,10.339144706726074,3.9159979820251465,2.391942024230957,134,1386,48994.2265625,97.98843383789062,28.22365379333496,3.9243030548095703,2.381561517715454,100,1381,49995.3203125,99.99061584472656,99.99700164794922,3.9155821800231934,2.3873138427734375,141,1813,49567.14453125,99.13435363769531,26.918048858642578,3.9142348766326904,2.374166250228882
10,2,125000,1035,9460,248603.9609375,181,1491,49992.25390625,99.98445892333984,99.99207305908203,3.918445110321045,2.3770861625671387,240,2154,49707.21875,99.41444396972656,2.827692747116089,3.902055263519287,2.387967586517334,208,1991,48938.94140625,97.87791442871094,6.99647855758667,3.9131126403808594,2.366133689880371,201,1796,49985.0078125,99.97001647949219,1.6728980541229248,3.896512985229492,2.341716766357422,205,2028,49980.5390625,99.9611587524414,1.7392842769622803,3.8817620277404785,2.323847770690918
