episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
1,1,125000,722,5969,246528.1953125,189,1312,48495.41015625,96.99082946777344,5.648683071136475,3.9194376468658447,2.3814382553100586,78,549,48840.29296875,97.68059539794922,18.605560302734375,3.9260430335998535,2.39404034614563,195,1950,49536.921875,99.0738754272461,18.05027198791504,3.9246888160705566,2.393662452697754,99,897,49657.47265625,99.31494140625,86.3433609008789,3.925825595855713,2.3895959854125977,161,1261,49998.09765625,99.99618530273438,5.7377448081970215,3.9238338470458984,2.3855788707733154
2,1,125000,858,8454,247147.38671875,189,1998,49900.3046875,99.80058288574219,1.0862805843353271,3.9256248474121094,2.3912911415100098,172,1601,47635.6640625,95.27128601074219,0.014106100425124168,3.926557779312134,2.3947415351867676,201,2039,49970.5078125,99.9410171508789,1.7765705585479736,3.9268553256988525,2.393526554107666,126,1108,49979.26953125,99.95850372314453,99.94518280029297,3.927945613861084,2.3908910751342773,170,1708,49661.640625,99.32333374023438,86.65233612060547,3.9255623817443848,2.3911380767822266
3,1,125000,999,10444,246902.68359375,221,2226,49995.9453125,99.99181365966797,67.00359344482422,3.9250056743621826,2.3906354904174805,198,2315,49998.16796875,99.99637603759766,99.99952697753906,3.926353931427002,2.3946220874786377,211,2168,47966.625,95.93324279785156,0.5688662528991699,3.9263923168182373,2.39194393157959,188,2057,49952.41796875,99.90482330322266,1.6620029211044312,3.9278979301452637,2.3906469345092773,181,1678,48989.52734375,97.97901916503906,27.890827178955078,3.924557685852051,2.3917429447174072
4,1,125000,692,7667,247966.015625,158,1672,49947.16796875,99.89434814453125,14.507255554199219,3.9183199405670166,2.379892587661743,122,1281,49999.296875,99.9985580444336,17.302160263061523,3.925239086151123,2.3939900398254395,147,1899,49150.1484375,98.30027770996094,4.438553333282471,3.9252870082855225,2.3893380165100098,126,1257,49996.5859375,99.99319458007812,99.99839782714844,3.9270825386047363,2.3871521949768066,139,1558,48872.81640625,97.74564361572266,20.418729782104492,3.9227592945098877,2.3893847465515137
5,1,125000,764,7788,248342.40625,68,790,49954.5546875,99.90906524658203,99.73967742919922,3.9195239543914795,2.3821754455566406,176,1653,49993.18359375,99.98637390136719,9.157730102539062,3.9253346920013428,2.394090175628662,186,2090,49932.234375,99.8644027709961,89.15225982666016,3.9253594875335693,2.390122890472412,179,1839,48465.60546875,96.9311752319336,4.161815166473389,3.927424669265747,2.3874778747558594,155,1416,49996.828125,99.99365234375,3.0401339530944824,3.922929286956787,2.391190528869629
6,1,125000,645,6831,248063.8828125,127,1472,49988.75390625,99.97748565673828,99.98360443115234,3.915281295776367,2.37412166595459,102,1001,49979.1953125,99.9583740234375,99.94481658935547,3.9245731830596924,2.393843173980713,156,1651,49606.7421875,99.2134780883789,82.4052505493164,3.924246072769165,2.3885908126831055,139,1803,48517.921875,97.03575134277344,2.665543556213379,3.9268085956573486,2.3870110511779785,121,904,49971.26953125,99.94256591796875,1.8420199155807495,3.9205665588378906,2.388887882232666
7,1,125000,815,7781,247524.14453125,186,1903,49029.76171875,98.05947875976562,30.812923431396484,3.9146201610565186,2.3747053146362305,75,576,49935.9921875,99.87200164794922,99.48609924316406,3.924100875854492,2.393019199371338,229,2397,48919.83203125,97.83961486816406,23.2454776763916,3.9239625930786133,2.3891611099243164,199,1819,49978.2109375,99.9563980102539,2.2268309593200684,3.9263811111450195,2.3880090713500977,126,1086,49660.34765625,99.32067108154297,81.15419006347656,3.918475389480591,2.3911523818969727
8,1,125000,883,8576,248325.63671875,141,1065,48999.640625,97.9992904663086,28.61050796508789,3.919796943664551,2.3847575187683105,216,2240,49990.03515625,99.98009490966797,2.66377854347229,3.9239087104797363,2.3915395736694336,150,1406,49984.875,99.96977233886719,11.358832359313965,3.924185276031494,2.3898091316223145,208,2242,49368.6171875,98.73729705810547,60.739654541015625,3.9269134998321533,2.3893747329711914,168,1623,49982.46875,99.96489715576172,1.489909052848816,3.919360876083374,2.3923044204711914
9,1,125000,897,9135,247822.421875,204,1806,49968.12109375,99.9361801147461,1.968048334121704,3.91495680809021,2.3781981468200684,223,2385,48642.5703125,97.28520965576172,9.987552642822266,3.9222288131713867,2.387911796569824,246,2587,49218.81640625,98.4375228881836,1.740153193473816,3.922297954559326,2.3875954151153564,108,1364,49995.578125,99.99114227294922,4.301821708679199,3.926644802093506,2.390284538269043,116,993,49997.3359375,99.99469757080078,2.5768346786499023,3.9164671897888184,2.391967296600342
10,1,125000,1028,9331,244196.23046875,207,1681,48751.26953125,97.50249481201172,1.4900894165039062,3.911851406097412,2.377272605895996,227,2042,49933.640625,99.8672866821289,30.140031814575195,3.920667886734009,2.383880615234375,207,1895,49731.56640625,99.463134765625,12.323417663574219,3.9222121238708496,2.387688636779785,187,1928,48501.51171875,97.00298309326172,6.034585475921631,3.9265260696411133,2.3876941204071045,200,1785,47278.2421875,94.5564956665039,0.0023409174755215645,3.9143433570861816,2.3901400566101074
