episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
11,0,125000,746,7658,248438.65234375,117,949,49834.33203125,99.66863250732422,46.221961975097656,3.9228711128234863,2.381545066833496,156,1502,49999.92578125,99.99984741210938,10.755331039428711,3.917689085006714,2.388261556625366,101,1295,49993.9765625,99.98796844482422,99.99518585205078,3.918496608734131,2.3685028553009033,158,1718,48610.6875,97.22144317626953,2.8323111534118652,3.923624038696289,2.388965606689453,214,2194,49999.73046875,99.99951934814453,12.157971382141113,3.913785457611084,2.385348320007324
12,0,125000,1018,9291,246860.8125,222,2170,49034.00390625,98.06793212890625,0.7318692207336426,3.922252655029297,2.3803606033325195,225,1824,49999.37890625,99.99874877929688,14.277578353881836,3.916836738586426,2.3882806301116943,172,1862,49931.53125,99.86308288574219,1.1560604572296143,3.9183692932128906,2.3700783252716064,205,1901,48908.0234375,97.81604766845703,9.99008846282959,3.923065662384033,2.38938045501709,194,1534,48987.875,97.97576141357422,27.77634048461914,3.9136881828308105,2.38354754447937
13,0,125000,742,7076,248996.01171875,196,2073,49803.5078125,99.60697937011719,4.857431411743164,3.918100118637085,2.3736743927001953,164,1899,49990.72265625,99.98143005371094,9.453107833862305,3.9131853580474854,2.3851001262664795,76,752,49419.89453125,98.83977508544922,5.583608627319336,3.913607358932495,2.357696771621704,177,1274,49784.859375,99.56970977783203,19.81354522705078,3.921632766723633,2.3870327472686768,129,1078,49997.02734375,99.99408721923828,37.252830505371094,3.90805721282959,2.378016948699951
14,0,125000,886,8403,247868.48046875,190,1628,48467.0234375,96.93409729003906,5.123379230499268,3.9152772426605225,2.3705925941467285,192,1893,49971.26953125,99.94248962402344,1.0251235961914062,3.908963680267334,2.380242347717285,167,1563,49985.00390625,99.9699935913086,1.9961977005004883,3.9108901023864746,2.3464932441711426,180,1656,49983.0390625,99.96607208251953,99.96321868896484,3.9199652671813965,2.385028600692749,157,1663,49462.14453125,98.92430877685547,2.570709466934204,3.903334617614746,2.374188184738159
15,0,125000,851,8524,248619.75,160,1843,49995.63671875,99.9913330078125,6.847317218780518,3.9189603328704834,2.3730478286743164,136,1320,49995.03125,99.99004364013672,3.601728916168213,3.9104223251342773,2.383657217025757,197,2031,48658.8359375,97.317626953125,10.548818588256836,3.9121856689453125,2.352123737335205,156,1499,49979.78125,99.95955657958984,99.94789123535156,3.9203991889953613,2.387157917022705,202,1831,49990.46484375,99.98085021972656,2.951348304748535,3.9078495502471924,2.3766520023345947
16,0,125000,634,7482,249627.4921875,159,1679,49979.31640625,99.95867156982422,1.9551969766616821,3.919381618499756,2.375692367553711,102,1143,49997.73046875,99.99540710449219,99.99922180175781,3.9083149433135986,2.387531280517578,133,1563,49710.4140625,99.42081451416016,0.031511787325143814,3.910048723220825,2.347456455230713,101,1290,49972.71875,99.9454345703125,99.90563201904297,3.9186534881591797,2.387604236602783,139,1807,49967.3125,99.93464660644531,17.37452507019043,3.9051764011383057,2.3730380535125732
17,0,125000,1023,8642,249134.5234375,158,1445,49949.01953125,99.89807891845703,99.67335510253906,3.9125723838806152,2.361743927001953,206,1617,49997.3046875,99.99462127685547,99.99895477294922,3.902188777923584,2.388662338256836,214,1705,49876.2734375,99.75250244140625,98.09777069091797,3.8992185592651367,2.3307042121887207,219,1828,49993.33984375,99.9866714477539,99.9941177368164,3.9169163703918457,2.3843841552734375,226,2047,49318.5859375,98.63716125488281,55.94751739501953,3.8859188556671143,2.3564529418945312
18,0,125000,682,7378,248399.1328125,125,1401,48798.21875,97.59642028808594,13.53402042388916,3.915703058242798,2.36628794670105,134,1524,49872.69921875,99.74537658691406,0.35796472430229187,3.9039480686187744,2.3898138999938965,176,1874,49991.93359375,99.98384857177734,12.089797973632812,3.902531623840332,2.3448047637939453,120,1202,49764.21875,99.52843475341797,0.23533160984516144,3.91764760017395,2.384150981903076,127,1377,49972.0625,99.94414520263672,99.90113067626953,3.893610954284668,2.3624625205993652
19,0,125000,811,9674,247955.11328125,137,1661,48541.8515625,97.08372497558594,5.343315124511719,3.9087440967559814,2.3548007011413574,143,1764,49424.51953125,98.84917449951172,3.572932720184326,3.89677095413208,2.3886327743530273,185,2302,49997.8203125,99.99560546875,20.360260009765625,3.890590190887451,2.3302998542785645,168,1946,49998.1953125,99.99632263183594,74.33629608154297,3.9142444133758545,2.3781089782714844,178,2001,49992.7265625,99.9854736328125,5.862170219421387,3.8811161518096924,2.3565173149108887
20,0,125000,922,9505,249493.91015625,187,1949,49994.1640625,99.9884033203125,13.527585983276367,3.8622829914093018,2.2877397537231445,211,2199,49712.7578125,99.42546081542969,1.8112269639968872,3.84600567817688,2.3755717277526855,153,1484,49980.42578125,99.96086883544922,99.9511947631836,3.8187179565429688,2.193992853164673,170,1782,49912.7890625,99.82554626464844,0.38416606187820435,3.8864383697509766,2.3617329597473145,201,2091,49893.7734375,99.78755950927734,6.9983625411987305,3.802163600921631,2.308255672454834
21,0,125000,1074,9848,248614.7265625,192,1726,49979.328125,99.95867919921875,2.4723784923553467,3.907437801361084,2.3586370944976807,214,2068,49494.703125,98.9894027709961,0.984095573425293,3.8874125480651855,2.384336471557617,273,2425,49413.65625,98.82734680175781,65.04927825927734,3.8769474029541016,2.2970011234283447,229,2081,49991.078125,99.98222351074219,2.035278558731079,3.909942150115967,2.3813815116882324,166,1548,49735.9609375,99.47200775146484,1.4096180200576782,3.8703503608703613,2.3533074855804443
22,0,125000,1025,9162,248402.22265625,190,1932,48879.359375,97.75873565673828,2.371689796447754,3.9026074409484863,2.3529725074768066,211,1727,49946.3828125,99.89276123046875,1.4522489309310913,3.878552198410034,2.37778902053833,205,1592,49646.55859375,99.29313659667969,85.52838134765625,3.8677444458007812,2.2645184993743896,225,2214,49939.671875,99.87939453125,99.5434341430664,3.9057838916778564,2.379251718521118,194,1697,49990.25,99.98047637939453,2.426029920578003,3.8582663536071777,2.346468925476074
23,0,125000,717,7559,247377.37109375,167,1817,49997.8828125,99.99578857421875,8.751017570495605,3.907228469848633,2.3660898208618164,204,2607,48897.65625,97.7952880859375,3.091062545776367,3.881287097930908,2.3805508613586426,126,1041,48852.58203125,97.70512390136719,2.763017177581787,3.881808280944824,2.287832260131836,107,1047,49936.4375,99.87284851074219,1.5752999782562256,3.907212257385254,2.3796749114990234,113,1047,49692.8125,99.38562774658203,88.85958099365234,3.8715336322784424,2.351299524307251
24,0,125000,841,9176,246984.84765625,135,1229,49440.04296875,98.88011932373047,24.745756149291992,3.8921191692352295,2.343904733657837,198,2092,48751.3359375,97.50262451171875,14.232283592224121,3.8616647720336914,2.371053457260132,174,1857,49998.57421875,99.99714660644531,5.910025596618652,3.856569528579712,2.229562282562256,162,1826,48796.67578125,97.59329223632812,8.997871398925781,3.8979408740997314,2.369964122772217,172,2172,49998.21875,99.99644470214844,26.49056053161621,3.8382022380828857,2.3251795768737793
25,0,125000,852,9505,247560.265625,179,1827,49991.9296875,99.98393249511719,8.928159713745117,3.889829635620117,2.3424930572509766,132,1882,49996.41015625,99.99279022216797,99.9981918334961,3.867262840270996,2.3732199668884277,179,1792,48798.9375,97.59791564941406,13.915807723999023,3.856753349304199,2.239272117614746,175,1801,48779.1015625,97.5582046508789,14.427119255065918,3.8970587253570557,2.3715202808380127,187,2203,49993.88671875,99.98774719238281,5.872156620025635,3.8339858055114746,2.3176918029785156
26,0,125000,772,9312,248651.12890625,148,2113,49533.1015625,99.06616973876953,54.35409927368164,3.8709254264831543,2.324831962585449,186,2395,49945.55078125,99.89112854003906,7.813447952270508,3.85294246673584,2.36479115486145,148,1628,49180.6171875,98.36123657226562,9.633527755737305,3.830362319946289,2.2048299312591553,146,1700,49995.671875,99.99130249023438,17.397489547729492,3.8902909755706787,2.3637735843658447,144,1476,49996.1875,99.99243927001953,3.9775726795196533,3.8025095462799072,2.2697529792785645
27,0,125000,786,8297,249880.3828125,142,1462,49992.81640625,99.98563385009766,99.99317932128906,3.875049591064453,2.3276522159576416,156,1727,49985.671875,99.97132110595703,1.6593636274337769,3.857271194458008,2.356846809387207,156,1340,49915.9453125,99.83194732666016,3.7218916416168213,3.835886240005493,2.192380428314209,132,1288,49989.55859375,99.97911071777344,99.98584747314453,3.89086651802063,2.363790273666382,200,2480,49996.390625,99.99284362792969,8.57977294921875,3.812143564224243,2.2565243244171143
28,0,125000,951,9764,248355.2265625,193,1570,48781.47265625,97.5629653930664,6.276091575622559,3.8861300945281982,2.332937717437744,191,1710,49947.06640625,99.89407348632812,1.6601746082305908,3.8675878047943115,2.3597888946533203,112,1242,49649.8125,99.29962921142578,37.1855583190918,3.8644909858703613,2.259819746017456,236,2544,49989.36328125,99.978759765625,4.836692810058594,3.894400119781494,2.365696430206299,219,2698,49987.51171875,99.97502899169922,7.211613655090332,3.829535484313965,2.260382890701294
