episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
1,3,125000,766,9236,248192.58203125,126,1406,49988.7890625,99.9775619506836,20.22035026550293,3.9283933639526367,2.3957877159118652,199,2525,49998.27734375,99.99656677246094,8.611703872680664,3.927361488342285,2.3940134048461914,144,1987,49020.640625,98.04132080078125,30.138160705566406,3.9277658462524414,2.392737865447998,150,1425,49992.125,99.9842758178711,3.5525152683258057,3.9209938049316406,2.3862409591674805,147,1893,49192.75,98.38545989990234,44.263275146484375,3.9260549545288086,2.3946120738983154
2,3,125000,872,7934,249060.48046875,176,1339,49989.24609375,99.97847747802734,2.9086966514587402,3.927778959274292,2.3953146934509277,172,1474,49996.80078125,99.99359893798828,7.762818336486816,3.927579641342163,2.3939461708068848,187,1567,49796.4609375,99.5928955078125,0.1732671856880188,3.927196502685547,2.3917593955993652,147,1899,49280.13671875,98.56018829345703,0.011845571920275688,3.9185473918914795,2.379119873046875,190,1655,49997.8359375,99.99571228027344,99.99932098388672,3.9253673553466797,2.395359992980957
3,3,125000,687,8498,246886.85546875,182,2329,49637.75390625,99.27556610107422,11.273664474487305,3.9278929233551025,2.3945906162261963,151,1831,48901.65625,97.80326843261719,6.4162421226501465,3.9272561073303223,2.3929600715637207,118,1320,49428.9609375,98.85787963867188,1.950839877128601,3.927367687225342,2.391055107116699,153,2014,48956.13671875,97.91222381591797,8.9100980758667,3.9166316986083984,2.3791074752807617,83,1004,49962.34765625,99.9246597290039,99.82086944580078,3.924405574798584,2.3948302268981934
4,3,125000,1063,9427,245209.61328125,148,1297,49992.5234375,99.98505401611328,99.9926528930664,3.925510883331299,2.3913958072662354,219,1966,48997.6640625,97.99536895751953,2.659181594848633,3.9248945713043213,2.3856472969055176,196,1548,48902.19921875,97.80435180664062,3.259243965148926,3.9251513481140137,2.3860092163085938,251,2160,48822.37890625,97.64470672607422,2.0486910343170166,3.906658887863159,2.3669159412384033,249,2456,48494.84765625,96.98973083496094,5.8863043785095215,3.921642780303955,2.3928399085998535
5,3,125000,764,8586,249459.34765625,156,1961,49602.96875,99.20590209960938,82.09766387939453,3.928379535675049,2.3948097229003906,201,2386,49960.36328125,99.92080688476562,1.7279596328735352,3.9259698390960693,2.3929286003112793,148,1603,49990.8515625,99.98167419433594,20.051727294921875,3.927786350250244,2.391885280609131,118,1176,49994.5,99.98895263671875,99.99588775634766,3.9167990684509277,2.380059242248535,141,1460,49910.6640625,99.8213119506836,99.00264739990234,3.9245219230651855,2.3926403522491455
6,3,125000,739,7732,248612.28515625,113,1465,49996.91796875,99.99388122558594,99.9986801147461,3.920719623565674,2.38608455657959,138,1194,49981.7734375,99.96353912353516,99.95757293701172,3.920454978942871,2.382101535797119,156,1433,49992.62109375,99.98524475097656,2.410714864730835,3.9206109046936035,2.381136417388916,196,2272,49408.84765625,98.81759643554688,1.8503361940383911,3.8958582878112793,2.3391358852386475,136,1368,49232.125,98.46418762207031,47.83131408691406,3.9157869815826416,2.3895277976989746
7,3,125000,756,7769,247881.25390625,155,1326,49994.40234375,99.98882293701172,2.674610137939453,3.9286139011383057,2.3953285217285156,114,1092,48555.1640625,97.11029815673828,3.4791767597198486,3.925898313522339,2.3931736946105957,194,1854,49397.078125,98.79415130615234,32.1805305480957,3.927619218826294,2.3916916847229004,77,843,49940.9375,99.88189697265625,99.56208038330078,3.9187843799591064,2.38338041305542,216,2654,49993.671875,99.98735809326172,4.114705562591553,3.924314260482788,2.391223192214966
8,3,125000,1085,9899,249097.87890625,200,1975,49993.55859375,99.98711395263672,24.07999038696289,3.9249093532562256,2.3896007537841797,219,2154,49998.55078125,99.99706268310547,12.481206893920898,3.9228296279907227,2.390509843826294,227,2020,49998.0,99.99597930908203,2.196683883666992,3.923326253890991,2.383742570877075,220,2029,49112.11328125,98.22420501708984,4.369481086730957,3.907012701034546,2.354551315307617,219,1721,49995.65625,99.99126434326172,16.92677879333496,3.9195148944854736,2.39017915725708
9,3,125000,942,9444,248640.0703125,144,1526,49998.33984375,99.99675750732422,99.99958801269531,3.927239179611206,2.394627094268799,192,1583,49832.07421875,99.66419219970703,96.5292739868164,3.9236674308776855,2.3952105045318604,231,2358,48848.67578125,97.69727325439453,19.05915069580078,3.926295280456543,2.3903141021728516,179,1983,49965.3203125,99.9306411743164,0.8629120588302612,3.916594982147217,2.377619743347168,196,1994,49995.66015625,99.99130249023438,99.99742126464844,3.923692464828491,2.390847682952881
10,3,125000,874,9408,249659.58203125,190,2341,49996.34375,99.99273681640625,18.78481674194336,3.9256246089935303,2.393803119659424,175,1777,49972.59765625,99.94527435302734,1.3681080341339111,3.9223291873931885,2.395350456237793,189,2070,49735.84765625,99.47168731689453,91.63473510742188,3.924769639968872,2.3891475200653076,168,1915,49987.3203125,99.97457122802734,3.0326831340789795,3.9126057624816895,2.374943971633911,152,1305,49967.47265625,99.93492126464844,1.9385185241699219,3.922626256942749,2.3886895179748535
