episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
1,4,125000,845,8848,249582.45703125,174,2066,49940.9375,99.88191223144531,3.0219292640686035,3.9237172603607178,2.3931803703308105,179,1586,49996.8125,99.9936294555664,41.18220901489258,3.9244699478149414,2.3949954509735107,163,1573,49989.90234375,99.97978210449219,5.04984712600708,3.9229187965393066,2.388059139251709,185,2249,49996.1640625,99.99227905273438,47.37753677368164,3.921797037124634,2.386983871459961,144,1374,49658.640625,99.3172378540039,45.14125442504883,3.9273416996002197,2.3932721614837646
2,4,125000,938,9320,249834.56640625,204,1920,49978.3515625,99.95671081542969,1.5925167798995972,3.925783157348633,2.3946382999420166,213,2262,49991.12890625,99.98223114013672,2.5845847129821777,3.926938533782959,2.3965108394622803,162,1707,49971.09375,99.94214630126953,99.89402770996094,3.924734354019165,2.389244556427002,202,1745,49991.8359375,99.98368072509766,2.0103936195373535,3.9248127937316895,2.3900485038757324,157,1686,49902.15625,99.80429077148438,1.9603726863861084,3.9277987480163574,2.3913607597351074
3,4,125000,803,7690,248373.08984375,150,1297,48445.84375,96.89170837402344,2.3773813247680664,3.925549268722534,2.3944623470306396,192,1992,49984.390625,99.96875762939453,0.9943378567695618,3.9271583557128906,2.396009922027588,142,1261,49984.703125,99.9693832397461,3.546229362487793,3.924790143966675,2.389164924621582,130,1156,49997.6484375,99.99525451660156,99.9991683959961,3.9238498210906982,2.388640880584717,189,1984,49960.50390625,99.92101287841797,99.80326843261719,3.9272232055664062,2.390810012817383
4,4,125000,770,7045,247861.59765625,134,1086,48986.77734375,97.97354125976562,27.698091506958008,3.923692226409912,2.3933863639831543,119,844,49981.36328125,99.96268463134766,1.8812087774276733,3.9244043827056885,2.3949856758117676,215,2423,49564.4140625,99.12883758544922,67.47016143798828,3.9240782260894775,2.3879644870758057,232,2069,49982.87890625,99.96575164794922,1.5708624124526978,3.9198286533355713,2.3855128288269043,70,623,49346.1640625,98.69231414794922,27.072853088378906,3.927717447280884,2.392801523208618
5,4,125000,855,9124,249425.01171875,211,1976,49999.24609375,99.99854278564453,21.548709869384766,3.922348976135254,2.3916797637939453,159,2001,49995.73046875,99.99140930175781,6.818016529083252,3.9229142665863037,2.393833637237549,178,1680,49999.015625,99.99798583984375,3.2114546298980713,3.9223852157592773,2.387387275695801,97,1235,49994.44921875,99.98895263671875,7.8009538650512695,3.9174039363861084,2.3838448524475098,210,2232,49436.5703125,98.87310028076172,5.9463090896606445,3.9271535873413086,2.391223907470703
6,4,125000,797,7845,248097.80078125,179,1820,48943.17578125,97.88636016845703,24.74324607849121,3.925055980682373,2.393475294113159,125,1110,49865.40625,99.73079681396484,1.3022687435150146,3.9260241985321045,2.3964314460754395,58,674,49302.1640625,98.60433197021484,25.677207946777344,3.9243547916412354,2.3900606632232666,235,2202,49997.921875,99.99579620361328,2.658806562423706,3.924204111099243,2.3864033222198486,200,2039,49989.1328125,99.97821044921875,2.0180695056915283,3.9273860454559326,2.3893189430236816
7,4,125000,699,6577,247678.37890625,235,2038,49996.90234375,99.99380493164062,6.499096870422363,3.9239273071289062,2.3936424255371094,89,1001,48647.328125,97.29464721679688,10.14844799041748,3.9243650436401367,2.3960304260253906,70,577,49955.50390625,99.91098022460938,22.193614959716797,3.9237072467803955,2.3896243572235107,84,916,49092.09375,98.18419647216797,3.912444591522217,3.922208309173584,2.38470721244812,221,2045,49986.55078125,99.97306823730469,45.717735290527344,3.9266324043273926,2.389819622039795
8,4,125000,656,6041,247269.12109375,95,989,49930.4296875,99.86083221435547,1.1331181526184082,3.920361042022705,2.389601707458496,55,602,49977.5,99.95497131347656,99.93553924560547,3.919569253921509,2.3915884494781494,175,1683,49374.140625,98.74832153320312,61.26823043823242,3.9180197715759277,2.385652780532837,153,1404,49215.48828125,98.43101501464844,2.7080349922180176,3.9151134490966797,2.38188099861145,178,1363,48771.5625,97.5431137084961,15.15320110321045,3.9250917434692383,2.3889472484588623
9,4,125000,1022,9752,248220.296875,161,1394,49998.2109375,99.99637603759766,3.4611170291900635,3.9237570762634277,2.3926031589508057,244,2490,49681.875,99.36372375488281,3.347226858139038,3.9235074520111084,2.3945765495300293,178,1420,49917.9765625,99.8360366821289,0.9792978763580322,3.9209182262420654,2.387990951538086,194,1853,49997.59375,99.99520111083984,2.1084060668945312,3.9202873706817627,2.3841538429260254,245,2595,48624.640625,97.2493667602539,6.730576038360596,3.9258551597595215,2.390239715576172
10,4,125000,738,7680,248349.81640625,140,1798,49990.3515625,99.98068237304688,4.438393592834473,3.9165353775024414,2.3853392601013184,201,2286,49999.33203125,99.99864959716797,16.19980239868164,3.91021990776062,2.3770294189453125,96,821,49927.3125,99.8546371459961,99.3382797241211,3.903749465942383,2.3713998794555664,154,1487,48462.05859375,96.92414093017578,3.6366491317749023,3.899407386779785,2.375063180923462,147,1288,49970.76171875,99.94151306152344,3.1634058952331543,3.9207663536071777,2.3868908882141113
